comparison,split,metric,mean,ci_low,ci_high,seed_sd,episodes,model_seeds,common_episode_ids,ci_scope
visuotactile minus vision,test_id,tactile,"[-0.8465765832971645, -0.8388945402922454, -0.8301621952763311, -0.8226549162688078, -0.8124361391420717]","[-1.1918214196099175, -1.182541998969184, -1.1720590221263743, -1.1650018463134766, -1.1476489692970557]","[-0.5335110369081851, -0.5324431256894715, -0.5291178642555521, -0.523335676405165, -0.5179006726300276]","[0.0579670411262609, 0.04604186104803753, 0.03390678311921184, 0.024303912247851243, 0.014568852647399265]",20,3,"[""ep_0006"", ""ep_0016"", ""ep_0026"", ""ep_0034"", ""ep_0038"", ""ep_0046"", ""ep_0056"", ""ep_0066"", ""ep_0074"", ""ep_0078"", ""ep_0086"", ""ep_0096"", ""ep_0106"", ""ep_0114"", ""ep_0118"", ""ep_0126"", ""ep_0136"", ""ep_0146"", ""ep_0154"", ""ep_0158""]","whole test episodes, common draws across fixed training seeds"
visuotactile minus vision,test_id,peak,"[-2.2254288736979166, -2.215979546440973, -2.193177490234375, -2.202798733181423, -2.1716859266493054]","[-3.184169196234809, -3.1561308254665796, -3.1217194705539275, -3.129124599880642, -3.0921802402072482]","[-1.3293275994194877, -1.3370424355400936, -1.3196997918023008, -1.3482706714206274, -1.3185681262546116]","[0.2946545930110552, 0.2718612159419091, 0.23393445270386581, 0.19748655082203764, 0.18583099365458047]",20,3,"[""ep_0006"", ""ep_0016"", ""ep_0026"", ""ep_0034"", ""ep_0038"", ""ep_0046"", ""ep_0056"", ""ep_0066"", ""ep_0074"", ""ep_0078"", ""ep_0086"", ""ep_0096"", ""ep_0106"", ""ep_0114"", ""ep_0118"", ""ep_0126"", ""ep_0136"", ""ep_0146"", ""ep_0154"", ""ep_0158""]","whole test episodes, common draws across fixed training seeds"
visuotactile minus vision,test_id,height,"[-0.0005545393957032098, -0.0009173292749457889, -0.00120205894112587, -0.001385592520236969, -0.0015618119637171425]","[-0.0009234632690333658, -0.0014122505618466268, -0.0017899991696079573, -0.0020509131070640353, -0.002327983607848485]","[-0.00022028392812030196, -0.00047724562521196087, -0.0007040103357285263, -0.0008050343948933816, -0.0008650828968319628]","[0.000499075861528703, 0.0006507699151640731, 0.0006841471538698982, 0.0007110760348785879, 0.0007204743972239636]",20,3,"[""ep_0006"", ""ep_0016"", ""ep_0026"", ""ep_0034"", ""ep_0038"", ""ep_0046"", ""ep_0056"", ""ep_0066"", ""ep_0074"", ""ep_0078"", ""ep_0086"", ""ep_0096"", ""ep_0106"", ""ep_0114"", ""ep_0118"", ""ep_0126"", ""ep_0136"", ""ep_0146"", ""ep_0154"", ""ep_0158""]","whole test episodes, common draws across fixed training seeds"
visuotactile minus vision,test_ood,tactile,"[-0.42847181532118056, -0.41096631085431135, -0.39384553132233796, -0.3723691134982639, -0.36664994981553817]","[-0.7365511107268158, -0.7154247235898619, -0.6998413374159071, -0.6804599075317382, -0.6665581732855903]","[-0.22056285759254757, -0.19809648245352293, -0.18121284174036098, -0.15909942570439112, -0.15523864255128086]","[0.06681591498368356, 0.06854153944841193, 0.061520559222666575, 0.06747126643031513, 0.07258849046989853]",20,3,"[""ep_0009"", ""ep_0019"", ""ep_0029"", ""ep_0036"", ""ep_0039"", ""ep_0049"", ""ep_0059"", ""ep_0069"", ""ep_0076"", ""ep_0079"", ""ep_0089"", ""ep_0099"", ""ep_0109"", ""ep_0116"", ""ep_0119"", ""ep_0129"", ""ep_0139"", ""ep_0149"", ""ep_0156"", ""ep_0159""]","whole test episodes, common draws across fixed training seeds"
visuotactile minus vision,test_ood,peak,"[-1.1232310994466146, -1.1067899915907118, -1.0748316446940105, -1.0507010226779514, -0.9925441996256511]","[-1.9507530034383138, -1.9385145712958443, -1.9048051257663303, -1.8840320476955839, -1.8114182874891493]","[-0.5527110922071672, -0.5368300062815349, -0.4917369914584691, -0.4675286244286431, -0.42124118656582304]","[0.22059818689835933, 0.20092039696489203, 0.1905314287083897, 0.18890922051937156, 0.21488965395427395]",20,3,"[""ep_0009"", ""ep_0019"", ""ep_0029"", ""ep_0036"", ""ep_0039"", ""ep_0049"", ""ep_0059"", ""ep_0069"", ""ep_0076"", ""ep_0079"", ""ep_0089"", ""ep_0099"", ""ep_0109"", ""ep_0116"", ""ep_0119"", ""ep_0129"", ""ep_0139"", ""ep_0149"", ""ep_0156"", ""ep_0159""]","whole test episodes, common draws across fixed training seeds"
visuotactile minus vision,test_ood,height,"[2.550774150424531e-05, -0.00017815493047237396, -0.0003204087830252118, -0.0004577831427256267, -0.0006454716622829438]","[-0.00037059004356463753, -0.0006297261700448063, -0.0008000727064079708, -0.0009874417200270626, -0.0012381102041237884]","[0.000522539192603694, 0.00039663653947516415, 0.00025512271017457034, 0.00013963687430239337, -8.334924156467161e-06]","[0.00035210522065500004, 0.0005183786782337399, 0.0006593375382818236, 0.0007795281678051724, 0.0009450074451025715]",20,3,"[""ep_0009"", ""ep_0019"", ""ep_0029"", ""ep_0036"", ""ep_0039"", ""ep_0049"", ""ep_0059"", ""ep_0069"", ""ep_0076"", ""ep_0079"", ""ep_0089"", ""ep_0099"", ""ep_0109"", ""ep_0116"", ""ep_0119"", ""ep_0129"", ""ep_0139"", ""ep_0149"", ""ep_0156"", ""ep_0159""]","whole test episodes, common draws across fixed training seeds"
