method,baseline,domain,metric,run_minus_baseline,ci_low,ci_high,paired_environments,fixed_policies,baseline_fixed_policies,ci_method
vision_bc,force_feedback,all,sustained_10cm_lift_success,-0.25,-0.4,-0.11666666666666667,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,all,force_budget_exceeded,-0.06666666666666668,-0.2,0.03333333333333333,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,all,force_budget_exceeded,0.18333333333333332,-0.08333333333333334,0.4333333333333334,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,all,intervention_force_budget_exceeded,-0.08333333333333334,-0.2166666666666667,0.0,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,all,intervention_force_budget_exceeded,0.31666666666666665,-1.1102230246251566e-17,0.6,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,all,full_episode_peak_normal_N,-1.7046978582938508,-3.79445402264595,-0.29967964063088104,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,all,full_episode_peak_normal_N,1.3892361531654995,-1.7633577258388198,4.630613109692931,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,all,native_shaped_return,-8.129762121457308,-16.37908030142887,-1.0092454116545424,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,all,native_shaped_return,-11.29877191816372,-20.471288341049327,-2.836600495611253,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,id,sustained_10cm_lift_within_force_budget,-0.1,-0.3,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,id,sustained_10cm_lift_within_force_budget,-0.4,-0.7,-0.1,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,id,sustained_10cm_lift_success,-0.4,-0.6666666666666667,-0.13333333333333336,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,id,sustained_10cm_lift_success,-0.5,-0.7666666666666667,-0.23333333333333334,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,id,force_budget_exceeded,-0.1,-0.3,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,id,force_budget_exceeded,0.0,-0.3,0.3,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,id,intervention_force_budget_exceeded,-0.1,-0.3,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,id,intervention_force_budget_exceeded,0.3,-0.1,0.7,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,id,full_episode_peak_normal_N,-2.885743226607641,-6.9898222603400555,-0.01214746693770111,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,id,full_episode_peak_normal_N,-0.21374591787656136,-4.988866737633943,4.9484472843507845,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,id,native_shaped_return,-20.465343712159843,-36.82409654749374,-6.788987336455073,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,id,native_shaped_return,-26.94108276290911,-45.390687623934326,-10.925962318558701,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,ood,force_budget_exceeded,-0.03333333333333334,-0.2,0.09999999999999998,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,ood,force_budget_exceeded,0.36666666666666664,-0.10000000000000002,0.8,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,ood,intervention_force_budget_exceeded,-0.06666666666666668,-0.2,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,ood,intervention_force_budget_exceeded,0.3333333333333333,-0.10000000000000002,0.7333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,ood,full_episode_peak_normal_N,-0.5236524899800616,-1.333193853298823,0.11178244630495679,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,ood,full_episode_peak_normal_N,2.992218224207561,-1.177238379319509,7.263328849871951,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,script,ood,native_shaped_return,4.205819469245226,-1.1962830565951807,9.218369958704452,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_bc,force_feedback,ood,native_shaped_return,4.343538926581668,-1.133788706366004,9.881732239334772,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,all,sustained_10cm_lift_within_force_budget,-0.05,-0.15,0.0,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,all,sustained_10cm_lift_within_force_budget,-0.2,-0.35,-0.05,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,all,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,20,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,all,sustained_10cm_lift_success,-0.2833333333333333,-0.45,-0.11666666666666667,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,all,sustained_10cm_lift_success,-0.33333333333333337,-0.5,-0.15000000000000002,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,all,sustained_10cm_lift_success,-0.08333333333333334,-0.2,0.03333333333333333,20,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,all,force_budget_exceeded,0.2833333333333333,0.1,0.4833333333333333,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,all,force_budget_exceeded,0.5333333333333333,0.3166666666666667,0.75,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,all,force_budget_exceeded,0.35,0.18333333333333332,0.5499999999999999,20,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,all,intervention_force_budget_exceeded,0.26666666666666666,0.08333333333333333,0.4666666666666666,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,all,intervention_force_budget_exceeded,0.6666666666666666,0.45,0.85,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,all,intervention_force_budget_exceeded,0.35,0.16666666666666666,0.55,20,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,all,full_episode_peak_normal_N,2.1828959623972577,-0.5129723169406256,5.357849320967979,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,all,full_episode_peak_normal_N,5.276829973856609,3.783961165944736,6.8331099311510695,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,all,full_episode_peak_normal_N,3.8875938206911087,0.9802026357750093,6.9044900105893605,20,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,all,native_shaped_return,-15.557786503757686,-26.546990576432535,-2.3311864239205695,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,all,native_shaped_return,-18.7267963004641,-28.717743478383944,-6.666831080061349,20,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,all,native_shaped_return,-7.428024382300379,-19.930973263196034,5.480353525475498,20,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,id,sustained_10cm_lift_within_force_budget,-0.1,-0.3,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,id,sustained_10cm_lift_within_force_budget,-0.4,-0.7,-0.1,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,id,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,id,sustained_10cm_lift_success,-0.5666666666666667,-0.9,-0.23333333333333334,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,id,sustained_10cm_lift_success,-0.6666666666666667,-1.0,-0.33333333333333337,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,id,sustained_10cm_lift_success,-0.16666666666666669,-0.4,0.03333333333333333,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,id,force_budget_exceeded,0.3333333333333333,0.1,0.6333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,id,force_budget_exceeded,0.4333333333333333,0.13333333333333333,0.7333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,id,force_budget_exceeded,0.4333333333333333,0.13333333333333333,0.7333333333333333,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,id,intervention_force_budget_exceeded,0.3,0.0,0.6,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,id,intervention_force_budget_exceeded,0.7,0.4,1.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,id,intervention_force_budget_exceeded,0.4,0.1,0.7,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,id,full_episode_peak_normal_N,2.124248743057251,-2.826159403324128,7.764995759328206,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,id,full_episode_peak_normal_N,4.79624605178833,3.2937662414709727,6.2973332985242205,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,id,full_episode_peak_normal_N,5.009991969664891,-0.08342914357781413,10.254043672134477,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,id,native_shaped_return,-28.66056971687729,-51.19389166895388,-2.89696456765622,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,id,native_shaped_return,-35.13630876762655,-53.31505492734513,-11.783030914791041,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,id,native_shaped_return,-8.195226004717451,-31.857951549391107,15.38976994810407,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,ood,force_budget_exceeded,0.23333333333333334,0.0,0.5333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,ood,force_budget_exceeded,0.6333333333333333,0.3333333333333333,0.9,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,ood,force_budget_exceeded,0.2666666666666667,0.06666666666666667,0.5000000000000001,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,ood,intervention_force_budget_exceeded,0.23333333333333334,0.0,0.5333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,ood,intervention_force_budget_exceeded,0.6333333333333333,0.33333333333333337,0.9,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,ood,intervention_force_budget_exceeded,0.3,0.06666666666666667,0.5666666666666667,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,ood,full_episode_peak_normal_N,2.2415431817372644,0.08581883470217391,5.534077593485514,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,ood,full_episode_peak_normal_N,5.757413895924886,3.12421439687411,8.5437887585163,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,ood,full_episode_peak_normal_N,2.765195671717325,0.6380337051550546,6.102603289286295,10,3,3,stratified paired environment bootstrap of fixed-policy averages
vision_rl,script,ood,native_shaped_return,-2.455003290638081,-7.923201067868953,3.3334379812341037,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,force_feedback,ood,native_shaped_return,-2.317283833301639,-7.4450653500780675,3.515870522651015,10,3,1,stratified paired environment bootstrap of fixed-policy averages
vision_rl,vision_bc,ood,native_shaped_return,-6.660822759883308,-16.346436599619672,4.587229766288844,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,all,sustained_10cm_lift_within_force_budget,-0.05000000000000001,-0.16666666666666669,0.05,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,all,sustained_10cm_lift_within_force_budget,-0.2,-0.33333333333333337,-0.06666666666666668,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,all,sustained_10cm_lift_within_force_budget,0.016666666666666666,-0.08333333333333333,0.08333333333333333,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,all,sustained_10cm_lift_success,-0.30000000000000004,-0.4333333333333334,-0.15,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,all,sustained_10cm_lift_success,-0.35000000000000003,-0.45,-0.23333333333333334,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,all,sustained_10cm_lift_success,-0.016666666666666666,-0.11666666666666665,0.06666666666666667,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,all,force_budget_exceeded,-0.4666666666666667,-0.6833333333333333,-0.23333333333333334,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,all,force_budget_exceeded,-0.2166666666666667,-0.4333333333333334,-0.03333333333333334,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,all,force_budget_exceeded,-0.5333333333333333,-0.6666666666666667,-0.3995833333333355,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,all,intervention_force_budget_exceeded,-0.4666666666666667,-0.6670833333333334,-0.2333333333333334,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,all,intervention_force_budget_exceeded,-0.06666666666666668,-0.2166666666666667,0.06666666666666667,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,all,intervention_force_budget_exceeded,-0.4833333333333333,-0.65,-0.31666666666666665,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,script,all,full_episode_peak_normal_N,-7.058929095665614,-10.734310909907025,-3.5022814974188883,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,force_feedback,all,full_episode_peak_normal_N,-3.964995084206264,-5.248772121171156,-2.7825272773206233,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_rl,visuotactile_rl,all,full_episode_peak_normal_N,-6.267913371324539,-7.58648932437102,-4.896680440356335,20,3,3,stratified paired environment bootstrap of fixed-policy averages
