run,status,takeover,domain,metric,kind,count,n,estimate,ci_low,ci_high,ci_method,all_episode_n
eval_force_feedback,diagnostic_other_protocol,62,ood,sustained_native_success,binary,0,10,0.0,0.0,0.2775327998628892,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,sustained_success_within_force_budget,binary,0,10,0.0,0.0,0.2775327998628892,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,any_native_success,binary,0,10,0.0,0.0,0.2775327998628892,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,final_native_success,binary,0,10,0.0,0.0,0.2775327998628892,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,force_budget_exceeded,binary,7,10,0.7,0.39677814746114537,0.8922087325936989,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,setup_force_budget_exceeded,binary,4,10,0.4,0.16818032970623614,0.6873262302663417,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,bilateral_contact_at_takeover,binary,6,10,0.6,0.31267376973365824,0.8318196702937638,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,intervention_force_budget_exceeded,binary,7,10,0.7,0.39677814746114537,0.8922087325936989,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,sustained_10cm_lift_success,binary,0,10,0.0,0.0,0.2775327998628892,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,sustained_10cm_lift_within_force_budget,binary,0,10,0.0,0.0,0.2775327998628892,"Wilson 95%, environment-seed episodes",
eval_force_feedback,diagnostic_other_protocol,62,ood,full_episode_peak_normal_N,continuous,,10,10.218041563034058,7.795439941883087,13.235380002260207,whole-environment-seed bootstrap 95%,
eval_force_feedback,diagnostic_other_protocol,62,ood,setup_peak_normal_N,continuous,,10,7.960525465011597,4.23270744562149,11.78897785842418,whole-environment-seed bootstrap 95%,
eval_force_feedback,diagnostic_other_protocol,62,ood,intervention_peak_normal_N,continuous,,10,10.186757612228394,7.673407033681869,13.095064976215358,whole-environment-seed bootstrap 95%,
eval_force_feedback,diagnostic_other_protocol,62,ood,max_relative_height_m,continuous,,10,0.0,0.0,0.0,whole-environment-seed bootstrap 95%,
eval_force_feedback,diagnostic_other_protocol,62,ood,native_shaped_return,continuous,,10,36.74650023832212,35.951865228459,37.67992062197669,whole-environment-seed bootstrap 95%,
eval_force_feedback,diagnostic_other_protocol,62,ood,native_success_given_setup_within_budget,conditional_binary,0,6,0.0,2.7755575615628914e-17,0.3903342879021653,"Wilson 95%; explicitly conditioned, not overall success",10
eval_script,diagnostic_other_protocol,62,all,sustained_native_success,binary,7,20,0.35,0.18119182410108206,0.5671457233147638,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,sustained_success_within_force_budget,binary,2,20,0.1,0.027866481213768224,0.3010336452284873,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,any_native_success,binary,7,20,0.35,0.18119182410108206,0.5671457233147638,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,final_native_success,binary,7,20,0.35,0.18119182410108206,0.5671457233147638,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,force_budget_exceeded,binary,11,20,0.55,0.34208534245034233,0.7418021417443759,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,setup_force_budget_exceeded,binary,7,20,0.35,0.18119182410108206,0.5671457233147638,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,bilateral_contact_at_takeover,binary,12,20,0.6,0.3865815007622531,0.781193467627183,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,intervention_force_budget_exceeded,binary,11,20,0.55,0.34208534245034233,0.7418021417443759,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,all,full_episode_peak_normal_N,continuous,,20,10.23173384666443,7.0596389979124075,13.5472294485569,whole-environment-seed bootstrap 95%,
eval_script,diagnostic_other_protocol,62,all,setup_peak_normal_N,continuous,,20,7.65221735239029,4.807082653343678,10.639573869109153,whole-environment-seed bootstrap 95%,
eval_script,diagnostic_other_protocol,62,all,intervention_peak_normal_N,continuous,,20,10.136178350448608,6.840672783255577,13.390740566849708,whole-environment-seed bootstrap 95%,
eval_script,diagnostic_other_protocol,62,all,max_relative_height_m,continuous,,20,0.05218042954802513,0.022346967812627554,0.08411040848121046,whole-environment-seed bootstrap 95%,
eval_script,diagnostic_other_protocol,62,all,native_shaped_return,continuous,,20,56.664045724971274,44.693216854150116,69.11770943615986,whole-environment-seed bootstrap 95%,
eval_script,diagnostic_other_protocol,62,all,native_success_given_setup_within_budget,conditional_binary,4,13,0.3076923076923077,0.12680703655710515,0.5763065681945096,"Wilson 95%; explicitly conditioned, not overall success",20
eval_script,diagnostic_other_protocol,62,id,sustained_native_success,binary,7,10,0.7,0.39677814746114537,0.8922087325936989,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,id,sustained_success_within_force_budget,binary,2,10,0.2,0.05668215145437519,0.5098375284633583,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,id,any_native_success,binary,7,10,0.7,0.39677814746114537,0.8922087325936989,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,id,final_native_success,binary,7,10,0.7,0.39677814746114537,0.8922087325936989,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,id,force_budget_exceeded,binary,5,10,0.5,0.236593090512564,0.7634069094874361,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,id,setup_force_budget_exceeded,binary,3,10,0.3,0.10779126740630099,0.6032218525388546,"Wilson 95%, environment-seed episodes",
eval_script,diagnostic_other_protocol,62,id,bilateral_contact_at_takeover,binary,6,10,0.6,0.31267376973365824,0.8318196702937638,"Wilson 95%, environment-seed episodes",
