method,domain,metric,estimate,ci_low,ci_high,policy_runs,environment_episodes,training_seed_sd,per_policy_counts,per_policy_estimates,run_names,ci_method
script,id,intervention_force_budget_exceeded,0.5,0.2,0.8,1,10,,[5.0],[0.5],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,full_episode_peak_normal_N,10.151392483711243,4.400938122272492,15.298720278739928,1,10,,,[10.151392483711243],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,id,native_shaped_return,76.66140998153682,57.969656790690216,89.58515008561557,1,10,,,[76.66140998153682],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,1,10,,[0.0],[0.0],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,force_budget_exceeded,0.6,0.3,0.9,1,10,,[6.0],[0.6],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,intervention_force_budget_exceeded,0.6,0.3,0.9,1,10,,[6.0],[0.6],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,full_episode_peak_normal_N,10.385877227783203,6.240882742404938,14.668498901128768,1,10,,,[10.385877227783203],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
script,ood,native_shaped_return,36.631208219018404,35.62619529660337,37.73233362688726,1,10,,,[36.631208219018404],"[""script""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,all,sustained_10cm_lift_within_force_budget,0.05,0.0,0.15,3,20,8.498374721940739e-18,"[1.0, 1.0, 1.0]","[0.05, 0.05, 0.05]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,all,sustained_10cm_lift_success,0.15,0.03333333333333333,0.2833333333333333,3,20,0.05,"[3.0, 2.0, 4.0]","[0.15, 0.1, 0.2]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,all,force_budget_exceeded,0.4833333333333333,0.26666666666666666,0.6833333333333333,3,20,0.02886751345948128,"[10.0, 9.0, 10.0]","[0.5, 0.45, 0.5]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,all,intervention_force_budget_exceeded,0.4666666666666666,0.25,0.6666666666666667,3,20,0.028867513459481284,"[9.0, 9.0, 10.0]","[0.45, 0.45, 0.5]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,all,full_episode_peak_normal_N,8.563936997453373,5.3922903668135405,11.927619179611401,3,20,0.3800598185307001,,"[8.622698298096656, 8.157918858528138, 8.911193835735322]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,all,native_shaped_return,48.516546978820294,38.974311687802725,57.946258286870915,3,20,1.174401506426913,,"[49.75040579444662, 47.41236690079343, 48.38686824122083]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,id,sustained_10cm_lift_within_force_budget,0.1,0.0,0.3,3,10,1.6996749443881478e-17,"[1.0, 1.0, 1.0]","[0.1, 0.1, 0.1]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,id,sustained_10cm_lift_success,0.3,0.06666666666666667,0.5666666666666667,3,10,0.1,"[3.0, 2.0, 4.0]","[0.3, 0.2, 0.4]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,id,force_budget_exceeded,0.4,0.1,0.7,3,10,6.798699777552591e-17,"[4.0, 4.0, 4.0]","[0.4, 0.4, 0.4]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,id,intervention_force_budget_exceeded,0.4,0.1,0.7,3,10,6.798699777552591e-17,"[4.0, 4.0, 4.0]","[0.4, 0.4, 0.4]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,id,full_episode_peak_normal_N,7.265649257103601,2.8797817098100977,12.568447969208162,3,10,0.7962197385143572,,"[7.077852946519852, 6.58011474609375, 8.138980078697205]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,id,native_shaped_return,56.19606626937697,38.508944068152324,74.85182722057296,3,10,4.38226302366433,,"[56.13785860566336, 51.84319701716656, 60.607143185300956]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
vision_bc,ood,sustained_10cm_lift_success,0.0,0.0,0.0,3,10,0.0,"[0.0, 0.0, 0.0]","[0.0, 0.0, 0.0]","[""vision_seed0_bc"", ""vision_seed1_bc"", ""vision_seed2_bc""]",stratified whole-environment bootstrap; shared draws across fixed trained policies; ID/OOD counts fixed
