group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
WM_BC_vision,geometry_ood,joint_success,rate,0.05555555555555555,0.01111111111111111,0.11138888888888737,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,joint_success,rate,0.14444444444444443,0.05555555555555555,0.24444444444444444,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,joint_success,rate,0.04444444444444444,0.01111111111111111,0.08888888888888888,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,joint_success,rate,0.13055555555555554,0.09166666666666666,0.1722222222222222,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,force_violation,rate,0.28888888888888886,0.17777777777777776,0.4,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,force_violation,rate,0.15555555555555553,0.08888888888888888,0.23333333333333334,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,force_violation,rate,0.3444444444444444,0.2222222222222222,0.4666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,force_violation,rate,0.1111111111111111,0.04444444444444444,0.17777777777777776,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,force_violation,rate,0.22499999999999998,0.175,0.2722222222222222,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,peak_N,mean,6.204819014999601,4.9563032499618,7.541246813270781,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,peak_N,mean,2.660191869073444,1.7021722179899612,3.622707807372014,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,peak_N,mean,6.98888678153356,5.175105392966005,9.044501847624778,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,peak_N,mean,2.4227492782804703,1.5388796923889054,3.4032999887069053,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,peak_N,mean,4.569161735971769,3.918463072323551,5.245339353366029,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,max_height_m,mean,0.09428072698356119,0.0771627445412418,0.111413823451019,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,max_height_m,mean,0.03381049219104979,0.021142213630179565,0.046769693212376694,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,max_height_m,mean,0.06413903861410088,0.049563044605569706,0.07896688464097679,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,max_height_m,mean,0.020648856398959956,0.011509502088754541,0.029933188232696716,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,max_height_m,mean,0.05321977854691795,0.04660383614254897,0.06029063614185563,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,setup_peak_N,mean,0.0,0.0,0.0,120,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,id,strict_longest,mean,26.066666666666666,21.67722222222222,30.745,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,geometry_ood,strict_longest,mean,6.533333333333333,4.2,8.966666666666667,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,physics_ood,strict_longest,mean,16.2,11.8775,20.422499999999996,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,combined_ood,strict_longest,mean,3.0222222222222226,1.5444444444444445,4.644444444444445,30,3,paired_environment_percentile_bootstrap_95pct
WM_BC_vision,all,strict_longest,mean,12.955555555555556,11.333125,14.652916666666664,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,strict_lift,rate,0.5666666666666667,0.4666666666666667,0.6666666666666666,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,geometry_ood,strict_lift,rate,0.1111111111111111,0.04444444444444444,0.18888888888888886,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,strict_lift,rate,0.13333333333333333,0.05555555555555555,0.2222222222222222,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,strict_lift,rate,0.08888888888888888,0.03333333333333333,0.16666666666666666,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,strict_lift,rate,0.225,0.1861111111111111,0.26666666666666666,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,joint_success,rate,0.15555555555555553,0.06666666666666667,0.25555555555555554,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,geometry_ood,joint_success,rate,0.05555555555555555,0.0,0.12222222222222222,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,joint_success,rate,0.02222222222222222,0.0,0.06666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,joint_success,rate,0.01111111111111111,0.0,0.03333333333333333,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,joint_success,rate,0.0611111111111111,0.03333333333333333,0.09444444444444443,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,force_violation,rate,0.5777777777777777,0.43333333333333335,0.7222222222222222,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,geometry_ood,force_violation,rate,0.2777777777777778,0.14444444444444443,0.4222222222222222,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,force_violation,rate,0.6333333333333333,0.4888888888888889,0.7666666666666667,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,force_violation,rate,0.4222222222222222,0.2777777777777778,0.5777777777777777,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,force_violation,rate,0.47777777777777775,0.40555555555555556,0.5527777777777777,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,peak_N,mean,10.554867366618579,8.897852377336887,12.289895724058152,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,geometry_ood,peak_N,mean,4.513359565536181,2.707815728535255,6.520057631805539,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,physics_ood,peak_N,mean,10.077956702974108,8.191193057298662,12.159943357706068,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,combined_ood,peak_N,mean,6.017913206418355,4.076630923880471,8.072335551679132,30,3,paired_environment_percentile_bootstrap_95pct
BC_vision,all,peak_N,mean,7.791024210386806,6.853000748037465,8.829407302226041,120,3,paired_environment_percentile_bootstrap_95pct
BC_vision,id,max_height_m,mean,0.10990613371961647,0.09795070769989657,0.12147002016297645,30,3,paired_environment_percentile_bootstrap_95pct
