group,method,training_seed,domain,metric,estimate,n_environments
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,force_violation,0.6,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,force_violation,0.7,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,force_violation,0.8,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,force_violation,0.55,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,force_violation,0.7,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,force_violation,0.7,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,peak_N,8.356877732276917,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,peak_N,9.223506689071655,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,peak_N,9.541350960731506,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,peak_N,10.626893186569214,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,peak_N,10.427247667312622,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,peak_N,11.58129816055298,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,peak_N,9.491885459423065,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,peak_N,9.825377178192138,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,peak_N,10.561324560642243,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,max_height_m,0.135749202221632,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,max_height_m,0.13788312301039696,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,max_height_m,0.11578989401459694,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,max_height_m,0.0,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,max_height_m,0.0,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,max_height_m,0.0,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,max_height_m,0.067874601110816,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,max_height_m,0.06894156150519848,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,max_height_m,0.05789494700729847,20
WM_visuotactile,visuotactile_height_seed0_rl,0,id,setup_peak_N,0.0,10
WM_visuotactile,visuotactile_height_seed1_rl,1,id,setup_peak_N,0.0,10
WM_visuotactile,visuotactile_height_seed2_rl,2,id,setup_peak_N,0.0,10
WM_visuotactile,visuotactile_height_seed0_rl,0,ood,setup_peak_N,0.0,10
WM_visuotactile,visuotactile_height_seed1_rl,1,ood,setup_peak_N,0.0,10
WM_visuotactile,visuotactile_height_seed2_rl,2,ood,setup_peak_N,0.0,10
WM_visuotactile,visuotactile_height_seed0_rl,0,all,setup_peak_N,0.0,20
WM_visuotactile,visuotactile_height_seed1_rl,1,all,setup_peak_N,0.0,20
WM_visuotactile,visuotactile_height_seed2_rl,2,all,setup_peak_N,0.0,20
