contrast,first,second,domain,metric,estimate_difference,ci_low,ci_high,unit,percentage_point_difference,percentage_point_ci_low,percentage_point_ci_high,n_environments,ci_method
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,combined_ood,peak_N,-0.5168185631434117,-1.8477656518750714,0.6946248772740359,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,combined_ood,max_height_m,-0.08250760493247074,-0.1220551720639883,-0.041028868012726954,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,combined_ood,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,combined_ood,strict_longest,-1.2333333333333343,-10.20166666666667,8.755833333333333,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,strict_lift,-0.02499999999999991,-0.09722222222222221,0.047291666666666336,proportion_difference,-2.499999999999991,-9.722222222222221,4.729166666666633,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,joint_success,0.005555555555555564,-0.024999999999999994,0.036111111111111094,proportion_difference,0.5555555555555564,-2.4999999999999996,3.6111111111111094,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,force_violation,0.008333333333333304,-0.03888888888888886,0.05833333333333335,proportion_difference,0.8333333333333304,-3.888888888888886,5.833333333333335,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,peak_N,-1.643711626778046,-2.2964137844741326,-0.9820469230848049,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,max_height_m,-0.12203183019975972,-0.13667464245775693,-0.10687710328803705,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
WM_visuotactile - WM_vision,WM_visuotactile,WM_vision,all,strict_longest,3.12777777777778,-0.7833333333333317,7.3675,native_metric_difference,,,,120,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,strict_lift,0.1000000000000002,-0.033333333333333326,0.2333333333333334,proportion_difference,10.00000000000002,-3.3333333333333326,23.33333333333334,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,joint_success,0.07777777777777778,-0.0222222222222222,0.17805555555555408,proportion_difference,7.777777777777778,-2.2222222222222197,17.805555555555408,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,force_violation,0.022222222222222254,-0.09999999999999998,0.1333333333333333,proportion_difference,2.2222222222222254,-9.999999999999998,13.33333333333333,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,peak_N,0.9094529685046933,-0.5931694866385716,2.188935846363503,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,max_height_m,0.01591460079782539,0.002745301132607784,0.029184977955495295,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,setup_peak_N,0.0,0.0,0.0,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,id,strict_longest,4.511111111111109,-0.7336111111111084,9.856111111111113,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,strict_lift,0.3,0.18888888888888883,0.41111111111111115,proportion_difference,30.0,18.888888888888882,41.111111111111114,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,joint_success,0.17777777777777778,0.1,0.2558333333333319,proportion_difference,17.77777777777778,10.0,25.58333333333319,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,force_violation,0.06666666666666671,-0.022222222222222254,0.15555555555555556,proportion_difference,6.6666666666666705,-2.2222222222222254,15.555555555555555,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,peak_N,1.7423964430888494,0.4315425372620412,2.971198812002937,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
IQL_visuotactile - IQL_vision,IQL_visuotactile,IQL_vision,geometry_ood,max_height_m,0.04506657603714201,0.02981027481249636,0.05980367947369815,native_metric_difference,,,,30,paired_environment_percentile_bootstrap_95pct
