group,domain,metric,n_policies,mean,sample_sd,minimum,maximum,training_seeds,policy_estimates
clean:WM_visuotactile,id,strict_lift,3,0.8333333333333334,0.2603416558635552,0.5333333333333333,1.0,"[0,1,2]","[1.0,0.9666666666666667,0.5333333333333333]"
clean:WM_visuotactile,id,joint_success,3,0.27777777777777773,0.06938886664887108,0.2,0.3333333333333333,"[0,1,2]","[0.3333333333333333,0.3,0.2]"
clean:WM_visuotactile,id,force_violation,3,0.5777777777777778,0.15396007178390017,0.4,0.6666666666666666,"[0,1,2]","[0.6666666666666666,0.6666666666666666,0.4]"
clean:WM_visuotactile,id,peak_N,3,8.09511662721634,1.9214528494824963,5.876745148499807,9.237499348322551,"[0,1,2]","[9.237499348322551,9.17110538482666,5.876745148499807]"
clean:WM_visuotactile,id,max_height_m,3,0.10793972859715319,0.02863842366950657,0.07567688052658923,0.13035532211263975,"[0,1,2]","[0.13035532211263975,0.11778698315223059,0.07567688052658923]"
clean:WM_visuotactile,id,setup_peak_N,3,0.0,0.0,0.0,0.0,"[0,1,2]","[0.0,0.0,0.0]"
clean:WM_visuotactile,id,strict_longest,3,51.27777777777778,16.562820926310742,32.86666666666667,64.96666666666667,"[0,1,2]","[64.96666666666667,56.0,32.86666666666667]"
stress:WM_visuotactile,id,strict_lift,3,0.8333333333333334,0.2603416558635552,0.5333333333333333,1.0,"[0,1,2]","[1.0,0.9666666666666667,0.5333333333333333]"
stress:WM_visuotactile,id,joint_success,3,0.26666666666666666,0.08819171036881968,0.16666666666666666,0.3333333333333333,"[0,1,2]","[0.3333333333333333,0.3,0.16666666666666666]"
stress:WM_visuotactile,id,force_violation,3,0.5888888888888889,0.13471506281091264,0.43333333333333335,0.6666666666666666,"[0,1,2]","[0.6666666666666666,0.6666666666666666,0.43333333333333335]"
stress:WM_visuotactile,id,peak_N,3,8.134085101551479,1.8738461330992784,5.97054218451182,9.24057224591573,"[0,1,2]","[9.24057224591573,9.191140874226887,5.97054218451182]"
stress:WM_visuotactile,id,max_height_m,3,0.10804789545784134,0.028274771765349618,0.07618734387506265,0.13015406454602876,"[0,1,2]","[0.13015406454602876,0.11780227795243263,0.07618734387506265]"
stress:WM_visuotactile,id,setup_peak_N,3,0.0,0.0,0.0,0.0,"[0,1,2]","[0.0,0.0,0.0]"
stress:WM_visuotactile,id,strict_longest,3,51.27777777777778,16.539559759468723,32.9,64.96666666666667,"[0,1,2]","[64.96666666666667,55.96666666666667,32.9]"
clean:IQL_visuotactile,id,strict_lift,3,0.8222222222222223,0.03849001794597504,0.8,0.8666666666666667,"[0,1,2]","[0.8,0.8666666666666667,0.8]"
clean:IQL_visuotactile,id,joint_success,3,0.35555555555555557,0.13471506281091267,0.23333333333333334,0.5,"[0,1,2]","[0.3333333333333333,0.5,0.23333333333333334]"
clean:IQL_visuotactile,id,force_violation,3,0.5666666666666667,0.12018504251546629,0.43333333333333335,0.6666666666666666,"[0,1,2]","[0.6,0.43333333333333335,0.6666666666666666]"
clean:IQL_visuotactile,id,peak_N,3,11.04775757789612,1.359277126836571,9.582794706026712,12.26813976764679,"[0,1,2]","[11.292338260014851,9.582794706026712,12.26813976764679]"
clean:IQL_visuotactile,id,max_height_m,3,0.14447409220867688,0.002561908579862063,0.14152075697978336,0.14609818384051323,"[0,1,2]","[0.14580333580573399,0.14609818384051323,0.14152075697978336]"
clean:IQL_visuotactile,id,setup_peak_N,3,0.0,0.0,0.0,0.0,"[0,1,2]","[0.0,0.0,0.0]"
clean:IQL_visuotactile,id,strict_longest,3,29.522222222222222,2.4820093413140847,27.633333333333333,32.333333333333336,"[0,1,2]","[27.633333333333333,32.333333333333336,28.6]"
stress:IQL_visuotactile,id,strict_lift,3,0.8222222222222223,0.01924500897298752,0.8,0.8333333333333334,"[0,1,2]","[0.8333333333333334,0.8,0.8333333333333334]"
stress:IQL_visuotactile,id,joint_success,3,0.3666666666666667,0.1,0.26666666666666666,0.4666666666666667,"[0,1,2]","[0.36666666666666664,0.4666666666666667,0.26666666666666666]"
stress:IQL_visuotactile,id,force_violation,3,0.5555555555555555,0.11706281947614151,0.43333333333333335,0.6666666666666666,"[0,1,2]","[0.5666666666666667,0.43333333333333335,0.6666666666666666]"
stress:IQL_visuotactile,id,peak_N,3,11.089698934555054,1.3622104714240586,9.62969426314036,12.326561347643535,"[0,1,2]","[11.312841192881267,9.62969426314036,12.326561347643535]"
stress:IQL_visuotactile,id,max_height_m,3,0.1438698792209228,0.004150084567225812,0.1391973964869976,0.14712760349114737,"[0,1,2]","[0.14712760349114737,0.1391973964869976,0.1452846376846234]"
stress:IQL_visuotactile,id,setup_peak_N,3,0.0,0.0,0.0,0.0,"[0,1,2]","[0.0,0.0,0.0]"
stress:IQL_visuotactile,id,strict_longest,3,28.45555555555556,1.4284153353875648,26.866666666666667,29.633333333333333,"[0,1,2]","[26.866666666666667,29.633333333333333,28.866666666666667]"
clean:force_feedback,id,strict_lift,1,1.0,,1.0,1.0,[null],[1.0]
clean:force_feedback,id,joint_success,1,0.7333333333333333,,0.7333333333333333,0.7333333333333333,[null],[0.7333333333333333]
clean:force_feedback,id,force_violation,1,0.26666666666666666,,0.26666666666666666,0.26666666666666666,[null],[0.26666666666666666]
clean:force_feedback,id,peak_N,1,7.058604383468628,,7.058604383468628,7.058604383468628,[null],[7.058604383468628]
clean:force_feedback,id,max_height_m,1,0.14356718560059864,,0.14356718560059864,0.14356718560059864,[null],[0.14356718560059864]
clean:force_feedback,id,setup_peak_N,1,0.0,,0.0,0.0,[null],[0.0]
clean:force_feedback,id,strict_longest,1,28.733333333333334,,28.733333333333334,28.733333333333334,[null],[28.733333333333334]
stress:force_feedback,id,strict_lift,1,1.0,,1.0,1.0,[null],[1.0]
stress:force_feedback,id,joint_success,1,0.7333333333333333,,0.7333333333333333,0.7333333333333333,[null],[0.7333333333333333]
stress:force_feedback,id,force_violation,1,0.26666666666666666,,0.26666666666666666,0.26666666666666666,[null],[0.26666666666666666]
stress:force_feedback,id,peak_N,1,7.109813292821248,,7.109813292821248,7.109813292821248,[null],[7.109813292821248]
stress:force_feedback,id,max_height_m,1,0.14356713940699894,,0.14356713940699894,0.14356713940699894,[null],[0.14356713940699894]
