group,domain,metric,metric_type,estimate,ci_low,ci_high,n_environments,n_policies,ci_method
clean:model_guard,id,max_height_m,mean,0.14371884630786047,0.1429855388899644,0.14445547364238237,30,3,paired_environment_percentile_bootstrap_95pct
clean:model_guard,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
clean:model_guard,id,strict_longest,mean,32.24444444444445,32.03333333333333,32.455555555555556,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,strict_lift,rate,1.0,1.0,1.0,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,joint_success,rate,0.9333333333333333,0.8333333333333334,1.0,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,force_violation,rate,0.06666666666666667,0.0,0.16666666666666666,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,peak_N,mean,6.556603866153293,6.183342740933101,6.9674053464995485,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,max_height_m,mean,0.14371997018655142,0.14298905410286453,0.14445656778911747,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,setup_peak_N,mean,0.0,0.0,0.0,30,3,paired_environment_percentile_bootstrap_95pct
stress:model_guard,id,strict_longest,mean,32.24444444444445,32.03333333333333,32.455555555555556,30,3,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,strict_lift,rate,1.0,1.0,1.0,30,1,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,joint_success,rate,0.7333333333333333,0.5666666666666667,0.8674999999999955,30,1,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,force_violation,rate,0.26666666666666666,0.13250000000000006,0.43333333333333335,30,1,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,peak_N,mean,7.0737260182698565,6.6264984663327535,7.5607263513406116,30,1,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,max_height_m,mean,0.13946805745363236,0.13848912071436642,0.14045878099898498,30,1,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,setup_peak_N,mean,0.0,0.0,0.0,30,1,paired_environment_percentile_bootstrap_95pct
clean:reactive_guard,id,strict_longest,mean,30.766666666666666,30.6,30.9,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,strict_lift,rate,1.0,1.0,1.0,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,joint_success,rate,0.7333333333333333,0.5666666666666667,0.8674999999999955,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,force_violation,rate,0.26666666666666666,0.13250000000000006,0.43333333333333335,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,peak_N,mean,7.079643042882283,6.63387985666593,7.576563471953074,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,max_height_m,mean,0.1394679655631383,0.13848903687049946,0.14045870214700698,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,setup_peak_N,mean,0.0,0.0,0.0,30,1,paired_environment_percentile_bootstrap_95pct
stress:reactive_guard,id,strict_longest,mean,30.766666666666666,30.6,30.9,30,1,paired_environment_percentile_bootstrap_95pct
