group,method,training_seed,domain,metric,estimate,n_environments
clean:IQL_visuotactile,clean/IQL_visuotactile_seed1,1,id,setup_peak_N,0.0,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed2,2,id,setup_peak_N,0.0,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed0,0,id,strict_longest,27.633333333333333,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed1,1,id,strict_longest,32.333333333333336,30
clean:IQL_visuotactile,clean/IQL_visuotactile_seed2,2,id,strict_longest,28.6,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,strict_lift,0.8333333333333334,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,strict_lift,0.8,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,strict_lift,0.8333333333333334,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,joint_success,0.36666666666666664,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,joint_success,0.4666666666666667,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,joint_success,0.26666666666666666,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,force_violation,0.5666666666666667,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,force_violation,0.43333333333333335,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,force_violation,0.6666666666666666,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,peak_N,11.312841192881267,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,peak_N,9.62969426314036,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,peak_N,12.326561347643535,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,max_height_m,0.14712760349114737,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,max_height_m,0.1391973964869976,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,max_height_m,0.1452846376846234,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,setup_peak_N,0.0,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,setup_peak_N,0.0,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,setup_peak_N,0.0,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed0,0,id,strict_longest,26.866666666666667,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed1,1,id,strict_longest,29.633333333333333,30
stress:IQL_visuotactile,stress/IQL_visuotactile_seed2,2,id,strict_longest,28.866666666666667,30
clean:force_feedback,clean/force_feedback,,id,strict_lift,1.0,30
clean:force_feedback,clean/force_feedback,,id,joint_success,0.7333333333333333,30
clean:force_feedback,clean/force_feedback,,id,force_violation,0.26666666666666666,30
clean:force_feedback,clean/force_feedback,,id,peak_N,7.058604383468628,30
clean:force_feedback,clean/force_feedback,,id,max_height_m,0.14356718560059864,30
clean:force_feedback,clean/force_feedback,,id,setup_peak_N,0.0,30
clean:force_feedback,clean/force_feedback,,id,strict_longest,28.733333333333334,30
stress:force_feedback,stress/force_feedback,,id,strict_lift,1.0,30
stress:force_feedback,stress/force_feedback,,id,joint_success,0.7333333333333333,30
stress:force_feedback,stress/force_feedback,,id,force_violation,0.26666666666666666,30
stress:force_feedback,stress/force_feedback,,id,peak_N,7.109813292821248,30
stress:force_feedback,stress/force_feedback,,id,max_height_m,0.14356713940699894,30
stress:force_feedback,stress/force_feedback,,id,setup_peak_N,0.0,30
stress:force_feedback,stress/force_feedback,,id,strict_longest,28.733333333333334,30
clean:model_guard,clean/model_guard_seed0,0,id,strict_lift,1.0,30
clean:model_guard,clean/model_guard_seed1,1,id,strict_lift,1.0,30
clean:model_guard,clean/model_guard_seed2,2,id,strict_lift,1.0,30
clean:model_guard,clean/model_guard_seed0,0,id,joint_success,0.9333333333333333,30
clean:model_guard,clean/model_guard_seed1,1,id,joint_success,0.9333333333333333,30
clean:model_guard,clean/model_guard_seed2,2,id,joint_success,0.9333333333333333,30
clean:model_guard,clean/model_guard_seed0,0,id,force_violation,0.06666666666666667,30
clean:model_guard,clean/model_guard_seed1,1,id,force_violation,0.06666666666666667,30
clean:model_guard,clean/model_guard_seed2,2,id,force_violation,0.06666666666666667,30
clean:model_guard,clean/model_guard_seed0,0,id,peak_N,6.458650557200114,30
clean:model_guard,clean/model_guard_seed1,1,id,peak_N,6.587362639109293,30
clean:model_guard,clean/model_guard_seed2,2,id,peak_N,6.635886033376058,30
clean:model_guard,clean/model_guard_seed0,0,id,max_height_m,0.1438389485081037,30
clean:model_guard,clean/model_guard_seed1,1,id,max_height_m,0.14381818721691766,30
clean:model_guard,clean/model_guard_seed2,2,id,max_height_m,0.14349940319856008,30
clean:model_guard,clean/model_guard_seed0,0,id,setup_peak_N,0.0,30
clean:model_guard,clean/model_guard_seed1,1,id,setup_peak_N,0.0,30
clean:model_guard,clean/model_guard_seed2,2,id,setup_peak_N,0.0,30
clean:model_guard,clean/model_guard_seed0,0,id,strict_longest,32.36666666666667,30
clean:model_guard,clean/model_guard_seed1,1,id,strict_longest,32.3,30
clean:model_guard,clean/model_guard_seed2,2,id,strict_longest,32.06666666666667,30
stress:model_guard,stress/model_guard_seed0,0,id,strict_lift,1.0,30
stress:model_guard,stress/model_guard_seed1,1,id,strict_lift,1.0,30
stress:model_guard,stress/model_guard_seed2,2,id,strict_lift,1.0,30
stress:model_guard,stress/model_guard_seed0,0,id,joint_success,0.9333333333333333,30
stress:model_guard,stress/model_guard_seed1,1,id,joint_success,0.9333333333333333,30
stress:model_guard,stress/model_guard_seed2,2,id,joint_success,0.9333333333333333,30
stress:model_guard,stress/model_guard_seed0,0,id,force_violation,0.06666666666666667,30
stress:model_guard,stress/model_guard_seed1,1,id,force_violation,0.06666666666666667,30
stress:model_guard,stress/model_guard_seed2,2,id,force_violation,0.06666666666666667,30
stress:model_guard,stress/model_guard_seed0,0,id,peak_N,6.45914576848348,30
stress:model_guard,stress/model_guard_seed1,1,id,peak_N,6.592316198348999,30
stress:model_guard,stress/model_guard_seed2,2,id,peak_N,6.6183496316274,30
stress:model_guard,stress/model_guard_seed0,0,id,max_height_m,0.14384136945009232,30
stress:model_guard,stress/model_guard_seed1,1,id,max_height_m,0.1438207025329272,30
stress:model_guard,stress/model_guard_seed2,2,id,max_height_m,0.14349783857663473,30
stress:model_guard,stress/model_guard_seed0,0,id,setup_peak_N,0.0,30
stress:model_guard,stress/model_guard_seed1,1,id,setup_peak_N,0.0,30
stress:model_guard,stress/model_guard_seed2,2,id,setup_peak_N,0.0,30
stress:model_guard,stress/model_guard_seed0,0,id,strict_longest,32.36666666666667,30
stress:model_guard,stress/model_guard_seed1,1,id,strict_longest,32.3,30
stress:model_guard,stress/model_guard_seed2,2,id,strict_longest,32.06666666666667,30
clean:reactive_guard,clean/reactive_guard,,id,strict_lift,1.0,30
clean:reactive_guard,clean/reactive_guard,,id,joint_success,0.7333333333333333,30
clean:reactive_guard,clean/reactive_guard,,id,force_violation,0.26666666666666666,30
clean:reactive_guard,clean/reactive_guard,,id,peak_N,7.0737260182698565,30
clean:reactive_guard,clean/reactive_guard,,id,max_height_m,0.13946805745363236,30
clean:reactive_guard,clean/reactive_guard,,id,setup_peak_N,0.0,30
clean:reactive_guard,clean/reactive_guard,,id,strict_longest,30.766666666666666,30
stress:reactive_guard,stress/reactive_guard,,id,strict_lift,1.0,30
stress:reactive_guard,stress/reactive_guard,,id,joint_success,0.7333333333333333,30
stress:reactive_guard,stress/reactive_guard,,id,force_violation,0.26666666666666666,30
stress:reactive_guard,stress/reactive_guard,,id,peak_N,7.079643042882283,30
stress:reactive_guard,stress/reactive_guard,,id,max_height_m,0.1394679655631383,30
stress:reactive_guard,stress/reactive_guard,,id,setup_peak_N,0.0,30
stress:reactive_guard,stress/reactive_guard,,id,strict_longest,30.766666666666666,30
