phase,step,loss,value_loss
bc,0,0.0714382603764534,0.0
bc,100,0.025433816015720367,0.0
bc,200,0.016742467880249023,0.0
bc,300,0.014959115535020828,0.0
bc,400,0.013027366250753403,0.0
bc,500,0.01203265879303217,0.0
bc,600,0.014188041910529137,0.0
bc,700,0.012958306819200516,0.0
bc,800,0.012050250545144081,0.0
bc,900,0.011215221136808395,0.0
imagination_rl,0,-1.4920885562896729,2.9826910495758057
imagination_rl,100,-2.6220269203186035,1.2617930173873901
imagination_rl,200,-3.7455644607543945,0.753208577632904
imagination_rl,300,-4.475442409515381,0.6973716616630554
imagination_rl,400,-5.397233963012695,0.7695509195327759
imagination_rl,500,-5.947799205780029,0.8367606997489929
imagination_rl,600,-7.205815315246582,0.844759464263916
imagination_rl,700,-7.532319068908691,1.0506502389907837
imagination_rl,800,-7.771048545837402,1.6688365936279297
imagination_rl,900,-8.406147956848145,1.4062212705612183
imagination_rl,1000,-8.55810832977295,0.8657302260398865
imagination_rl,1100,-9.152958869934082,2.2645747661590576
imagination_rl,1200,-9.8458890914917,1.1040918827056885
imagination_rl,1300,-9.937531471252441,1.5186916589736938
imagination_rl,1400,-9.763484954833984,1.2272391319274902
