seed,epoch,train_standardized_mse,validation_mae_N
17,1,1.0173845597141649,0.11865800619125366
17,2,1.0007964415853605,0.11974106729030609
17,3,1.0011454340456147,0.11911094933748245
17,4,0.9979707246797459,0.11528397351503372
17,5,0.6953026474181693,0.08435837179422379
17,6,0.5569775421436578,0.07880740612745285
17,7,0.5022572200151394,0.07531086355447769
17,8,0.4370694058167774,0.07165554165840149
17,9,0.35930016426718486,0.07133537530899048
17,10,0.2824153854401998,0.06704903393983841
17,11,0.2204379587313151,0.06555570662021637
17,12,0.16744388872727406,0.06927114725112915
17,13,0.1239970837593724,0.060829151421785355
17,14,0.0975665739529108,0.05137581378221512
17,15,0.0796653329128971,0.04917989298701286
17,16,0.0652337716031254,0.046860434114933014
17,17,0.05603800484241125,0.045776769518852234
17,18,0.04819416065369996,0.04648183658719063
17,19,0.043756932443560666,0.045323602855205536
17,20,0.0392856508095264,0.04086821526288986
17,21,0.035393196691493475,0.04264058917760849
17,22,0.03226363025029049,0.0423644594848156
17,23,0.03098979449645847,0.039459988474845886
17,24,0.029094720653412124,0.03940078243613243
17,25,0.026952880025953606,0.038809455931186676
17,26,0.02620225885493694,0.039263445883989334
17,27,0.024689258924257825,0.03830936923623085
17,28,0.023935021917764268,0.03763415664434433
17,29,0.023152456764702057,0.03786422684788704
17,30,0.022469109352466484,0.03787950426340103
29,1,1.0157321203688807,0.11842551082372665
29,2,1.001315403353662,0.11871423572301865
29,3,1.0005980117978697,0.11774551868438721
29,4,1.000460271872933,0.11752605438232422
29,5,0.9675261523449837,0.10235949605703354
29,6,0.6435907438759609,0.07866211235523224
29,7,0.5437120711303194,0.07883159071207047
29,8,0.4556394191018675,0.07471679896116257
29,9,0.3360161907196073,0.0869780108332634
29,10,0.24797179073149697,0.06366529315710068
29,11,0.1839687479823805,0.0637042298913002
29,12,0.13247031973218085,0.06002115085721016
29,13,0.09764654775668703,0.05239879712462425
29,14,0.07743622787434024,0.05618707835674286
29,15,0.06527724792793517,0.045855242758989334
29,16,0.05618864908567992,0.042484864592552185
29,17,0.04573413426421886,0.041073691099882126
29,18,0.042583073041822274,0.040229011327028275
29,19,0.036603788248604836,0.03858659788966179
29,20,0.03257079704123482,0.03784693032503128
29,21,0.030262827495241607,0.03782059997320175
29,22,0.028260280845002622,0.03710821270942688
29,23,0.02603259521440223,0.038181036710739136
29,24,0.024326818903147224,0.037491802126169205
29,25,0.023578329619999616,0.03587909787893295
29,26,0.02163909981172499,0.03517305478453636
29,27,0.021145858466940934,0.03513486310839653
29,28,0.020198051371923483,0.03515557199716568
29,29,0.019479549515951402,0.034818775951862335
29,30,0.01897950631531101,0.03537013381719589
43,1,1.013986639744692,0.11809252202510834
43,2,1.0008969841321385,0.11936171352863312
43,3,1.000350949791053,0.1188034638762474
43,4,0.8446142215591527,0.0817064493894577
43,5,0.5776313621478226,0.07752401381731033
43,6,0.5033801160838282,0.08878576010465622
43,7,0.43596738981012106,0.07307250797748566
43,8,0.34029628941824897,0.0739385113120079
43,9,0.2561478203334772,0.07691202312707901
43,10,0.1878536739006492,0.06456635147333145
43,11,0.14782343946209187,0.06922724843025208
43,12,0.11526536849399135,0.05287618935108185
43,13,0.09275283762206957,0.05198973789811134
43,14,0.07816311995043397,0.05196467041969299
43,15,0.06893404928213025,0.05102699249982834
43,16,0.058750207766519555,0.04618971794843674
43,17,0.05227507441796568,0.0473940335214138
43,18,0.046653154674400246,0.045654721558094025
43,19,0.04282753999938023,0.04512009769678116
43,20,0.03946139756003632,0.04386790469288826
43,21,0.03643350765145458,0.042235150933265686
43,22,0.03386460686467891,0.04219584912061691
43,23,0.03084559411250726,0.04148761183023453
43,24,0.029402713680462378,0.04199116304516792
43,25,0.02794649274926035,0.04112991318106651
43,26,0.02689515069463852,0.04060560464859009
43,27,0.02583371822489686,0.0404166616499424
43,28,0.024792652875013997,0.04028687626123428
43,29,0.024305763270776756,0.040314942598342896
43,30,0.02392666867834573,0.04025135561823845
