seed,alpha,split,method,frame_joint_constraint_coverage,trajectory_joint_constraint_coverage,mean_normal_upper_margin_N,mean_g_upper_margin_N,q_N,trajectories,frames
17,0.2,test_id,point,0.3341108519382428,0.0,0.0,0.0,0.0,116,9003
17,0.2,test_batch6,point,0.3784758887715593,0.0,0.0,0.0,0.0,153,11364
17,0.2,test_flat,point,0.7988501341510157,0.5805369127516778,0.0,0.0,0.0,298,13045
17,0.2,test_sharp,point,0.4610675339582935,0.19736842105263158,0.0,0.0,0.0,304,20908
17,0.2,test_id,frame_constraint,0.7968454959457959,0.017241379310344827,0.05480378866195679,0.054803782701492325,0.05480378270149233,116,9003
17,0.2,test_batch6,frame_constraint,0.7992784230904612,0.013071895424836602,0.05480378121137619,0.054803782701492325,0.05480378270149233,153,11364
17,0.2,test_flat,frame_constraint,0.870218474511307,0.6912751677852349,0.054803792387247086,0.054803782701492346,0.05480378270149233,298,13045
17,0.2,test_sharp,frame_constraint,0.6794050124354314,0.2993421052631579,0.05480378866195679,0.05480378270149233,0.05480378270149233,304,20908
17,0.2,test_id,trajectory_coordinate_box,0.9976674441852715,0.9827586206896551,0.30362290143966675,0.5822666392728507,0.30362290143966675,116,9003
17,0.2,test_batch6,trajectory_coordinate_box,0.9993840197113693,0.9803921568627451,0.30362293124198914,0.5839286591681085,0.30362290143966675,153,11364
17,0.2,test_flat,trajectory_coordinate_box,0.9982368723648908,0.9798657718120806,0.30362293124198914,0.5848611919919245,0.30362290143966675,298,13045
17,0.2,test_sharp,trajectory_coordinate_box,0.9922995982399082,0.9243421052631579,0.30362293124198914,0.5735971148316077,0.30362290143966675,304,20908
17,0.2,test_id,trajectory_constraint,0.9804509607908475,0.7586206896551724,0.2611377239227295,0.2611377596855164,0.26113775968551634,116,9003
17,0.2,test_batch6,trajectory_constraint,0.9796726504751848,0.7581699346405228,0.2611377537250519,0.2611377596855164,0.26113775968551634,153,11364
17,0.2,test_flat,trajectory_constraint,0.9854350325795324,0.9228187919463087,0.2611377537250519,0.2611377596855164,0.26113775968551634,298,13045
17,0.2,test_sharp,trajectory_constraint,0.9610675339582935,0.7171052631578947,0.2611377537250519,0.2611377596855164,0.26113775968551634,304,20908
17,0.1,test_id,point,0.3341108519382428,0.0,0.0,0.0,0.0,116,9003
17,0.1,test_batch6,point,0.3784758887715593,0.0,0.0,0.0,0.0,153,11364
17,0.1,test_flat,point,0.7988501341510157,0.5805369127516778,0.0,0.0,0.0,298,13045
17,0.1,test_sharp,point,0.4610675339582935,0.19736842105263158,0.0,0.0,0.0,304,20908
17,0.1,test_id,frame_constraint,0.8980339886704432,0.1810344827586207,0.11557513475418091,0.11557513475418091,0.11557513475418091,116,9003
17,0.1,test_batch6,frame_constraint,0.8790918690601901,0.1895424836601307,0.11557511985301971,0.11557513475418091,0.11557513475418091,153,11364
17,0.1,test_flat,frame_constraint,0.9346876197776927,0.761744966442953,0.11557512730360031,0.11557513475418091,0.11557513475418091,298,13045
17,0.1,test_sharp,frame_constraint,0.8529271092404821,0.3881578947368421,0.11557511985301971,0.11557513475418091,0.11557513475418091,304,20908
17,0.1,test_id,trajectory_coordinate_box,0.9994446295679218,0.9913793103448276,0.3576802611351013,0.6869716038307813,0.3576802611351013,116,9003
17,0.1,test_batch6,trajectory_coordinate_box,0.9999120028159099,0.9934640522875817,0.3576802909374237,0.6887859613584926,0.3576802611351013,153,11364
17,0.1,test_flat,trajectory_coordinate_box,0.9994633959371406,0.9932885906040269,0.3576802909374237,0.6894863015766822,0.3576802611351013,298,13045
17,0.1,test_sharp,trajectory_coordinate_box,0.9957432561698871,0.9506578947368421,0.3576803207397461,0.6773231316438286,0.3576802611351013,304,20908
17,0.1,test_id,trajectory_constraint,0.9911140730867488,0.8620689655172413,0.3327372372150421,0.3327372491359712,0.3327372491359711,116,9003
17,0.1,test_batch6,trajectory_constraint,0.992696233720521,0.8431372549019608,0.3327372372150421,0.33273724913597114,0.3327372491359711,153,11364
17,0.1,test_flat,trajectory_constraint,0.9922575699501724,0.9496644295302014,0.33273717761039734,0.3327372491359711,0.3327372491359711,298,13045
17,0.1,test_sharp,trajectory_constraint,0.9777118806198585,0.7960526315789473,0.3327372074127197,0.3327372491359712,0.3327372491359711,304,20908
17,0.05,test_id,point,0.3341108519382428,0.0,0.0,0.0,0.0,116,9003
17,0.05,test_batch6,point,0.3784758887715593,0.0,0.0,0.0,0.0,153,11364
17,0.05,test_flat,point,0.7988501341510157,0.5805369127516778,0.0,0.0,0.0,298,13045
17,0.05,test_sharp,point,0.4610675339582935,0.19736842105263158,0.0,0.0,0.0,304,20908
17,0.05,test_id,frame_constraint,0.9429079195823614,0.5086206896551724,0.16489779949188232,0.16489783525466917,0.16489783525466917,116,9003
17,0.05,test_batch6,frame_constraint,0.9307462161210841,0.35947712418300654,0.16489781439304352,0.1648978352546692,0.16489783525466917,153,11364
17,0.05,test_flat,frame_constraint,0.962974319662706,0.8322147651006712,0.16489779949188232,0.1648978352546692,0.16489783525466917,298,13045
17,0.05,test_sharp,frame_constraint,0.9161086665391238,0.5032894736842105,0.1648978292942047,0.16489783525466922,0.16489783525466917,304,20908
17,0.05,test_id,trajectory_coordinate_box,0.9998889259135844,0.9913793103448276,0.449983149766922,0.8659400880398705,0.449983149766922,116,9003
17,0.05,test_batch6,trajectory_coordinate_box,1.0,1.0,0.449983149766922,0.8679738594786643,0.449983149766922,153,11364
17,0.05,test_flat,trajectory_coordinate_box,0.9997700268302031,0.9966442953020134,0.4499831199645996,0.8683095517297449,0.449983149766922,298,13045
17,0.05,test_sharp,trajectory_coordinate_box,0.9974650851348766,0.9835526315789473,0.44998306035995483,0.8548813428847741,0.449983149766922,304,20908
17,0.05,test_id,trajectory_constraint,0.9966677774075309,0.9482758620689655,0.41249576210975647,0.41249576210975647,0.4124957621097564,116,9003
17,0.05,test_batch6,trajectory_constraint,0.9974480816613869,0.954248366013072,0.41249579191207886,0.41249576210975647,0.4124957621097564,153,11364
17,0.05,test_flat,trajectory_constraint,0.9964737447297816,0.9664429530201343,0.4124957323074341,0.41249576210975647,0.4124957621097564,298,13045
17,0.05,test_sharp,trajectory_constraint,0.9884733116510427,0.8848684210526315,0.4124957323074341,0.41249576210975647,0.4124957621097564,304,20908
29,0.2,test_id,point,0.3185604798400533,0.0,0.0,0.0,0.0,116,9003
29,0.2,test_batch6,point,0.32770151355156635,0.0,0.0,0.0,0.0,153,11364
29,0.2,test_flat,point,0.7773093139133768,0.5369127516778524,0.0,0.0,0.0,298,13045
29,0.2,test_sharp,point,0.46585039219437535,0.24671052631578946,0.0,0.0,0.0,304,20908
29,0.2,test_id,frame_constraint,0.7936243474397423,0.008620689655172414,0.04816403239965439,0.04816404134035112,0.0481640413403511,116,9003
29,0.2,test_batch6,frame_constraint,0.7982224568813798,0.006535947712418301,0.04816403239965439,0.04816404134035111,0.0481640413403511,153,11364
29,0.2,test_flat,frame_constraint,0.848677654273668,0.6543624161073825,0.04816403239965439,0.04816404134035111,0.0481640413403511,298,13045
29,0.2,test_sharp,frame_constraint,0.6407595178878898,0.3157894736842105,0.04816402867436409,0.04816404134035111,0.0481640413403511,304,20908
29,0.2,test_id,trajectory_coordinate_box,0.9958902588026214,0.9741379310344828,0.2818092107772827,0.5396047201612919,0.2818092107772827,116,9003
29,0.2,test_batch6,trajectory_coordinate_box,0.9980640619500176,0.9803921568627451,0.2818092405796051,0.5414982451499494,0.2818092107772827,153,11364
29,0.2,test_flat,trajectory_coordinate_box,0.9971636642391721,0.9731543624161074,0.2818092405796051,0.5411510598065334,0.2818092107772827,298,13045
29,0.2,test_sharp,trajectory_coordinate_box,0.9908647407690836,0.9144736842105263,0.2818092405796051,0.5392785979945425,0.2818092107772827,304,20908
29,0.2,test_id,trajectory_constraint,0.9831167388648229,0.7586206896551724,0.24723361432552338,0.24723359942436218,0.24723359942436218,116,9003
29,0.2,test_batch6,trajectory_constraint,0.9840725096796903,0.738562091503268,0.24723361432552338,0.24723359942436218,0.24723359942436218,153,11364
29,0.2,test_flat,trajectory_constraint,0.9783825220390955,0.8959731543624161,0.24723362922668457,0.24723359942436218,0.24723359942436218,298,13045
29,0.2,test_sharp,trajectory_constraint,0.9634589630763344,0.6973684210526315,0.24723359942436218,0.24723359942436218,0.24723359942436218,304,20908
29,0.1,test_id,point,0.3185604798400533,0.0,0.0,0.0,0.0,116,9003
29,0.1,test_batch6,point,0.32770151355156635,0.0,0.0,0.0,0.0,153,11364
