seed,alpha,split,method,assumed_mu,assumed_normal_ceiling_N,certification_coverage,true_constraint_valid_fraction,false_certificate_per_frame,violation_given_certification,valid_certificates_per_frame,trajectory_any_false_certificate,certified_frames,frames
17,0.2,test_id,point,0.3,0.5,0.5222703543263356,0.5585915805842497,0.02999000333222259,0.057422373458102936,0.49228035099411305,0.5086206896551724,4702,9003
17,0.2,test_id,point,0.3,1.0,0.696767744085305,0.7534155281572809,0.024991669443518827,0.035868005738880916,0.6717760746417861,0.5,6273,9003
17,0.2,test_id,point,0.3,2.0,0.696767744085305,0.7534155281572809,0.024991669443518827,0.035868005738880916,0.6717760746417861,0.5,6273,9003
17,0.2,test_id,point,0.3,3.0,0.696767744085305,0.7534155281572809,0.024991669443518827,0.035868005738880916,0.6717760746417861,0.5,6273,9003
17,0.2,test_id,point,0.5,0.5,0.5913584360768632,0.5653670998556037,0.04887259802288126,0.08264462809917356,0.542485838053982,0.5775862068965517,5324,9003
17,0.2,test_id,point,0.5,1.0,0.7957347550816395,0.7679662334777296,0.04909474619571254,0.061697375767727526,0.746640008885927,0.603448275862069,7164,9003
17,0.2,test_id,point,0.5,2.0,0.7958458291680551,0.7679662334777296,0.04920582028212818,0.06182833217027216,0.746640008885927,0.6120689655172413,7165,9003
17,0.2,test_id,point,0.5,3.0,0.7958458291680551,0.7679662334777296,0.04920582028212818,0.06182833217027216,0.746640008885927,0.6120689655172413,7165,9003
17,0.2,test_id,point,0.8,0.5,0.6366766633344441,0.5828057314228591,0.07386426746640008,0.11601535240753663,0.562812395868044,0.6982758620689655,5732,9003
17,0.2,test_id,point,0.8,1.0,0.9041430634233033,0.801732755748084,0.10840830834166389,0.1199017199017199,0.7957347550816395,0.8620689655172413,8140,9003
17,0.2,test_id,point,0.8,2.0,0.9060313228923692,0.8021770520937466,0.1098522714650672,0.12124555596420253,0.796179051427302,0.8620689655172413,8157,9003
17,0.2,test_id,point,0.8,3.0,0.9060313228923692,0.8021770520937466,0.1098522714650672,0.12124555596420253,0.796179051427302,0.8620689655172413,8157,9003
17,0.2,test_batch6,point,0.3,0.5,0.5528863076381556,0.5665258711721225,0.036342837029215064,0.0657329301289193,0.5165434706089406,0.477124183006536,6283,11364
17,0.2,test_batch6,point,0.3,1.0,0.7310806054206266,0.744368180218233,0.032382963745160157,0.04429465575349061,0.6986976416754663,0.4444444444444444,8308,11364
17,0.2,test_batch6,point,0.3,2.0,0.7310806054206266,0.744368180218233,0.032382963745160157,0.04429465575349061,0.6986976416754663,0.4444444444444444,8308,11364
17,0.2,test_batch6,point,0.3,3.0,0.7310806054206266,0.744368180218233,0.032382963745160157,0.04429465575349061,0.6986976416754663,0.4444444444444444,8308,11364
17,0.2,test_batch6,point,0.5,0.5,0.6101724744808166,0.5732136571629708,0.05957409362900387,0.09763484280357658,0.5505983808518128,0.5555555555555556,6934,11364
