phase,step,actor_loss,val_normalized_action_mse,val_action_nll,value_loss,critic_loss,mean_advantage,mean_advantage_weight,max_advantage_weight,mean_td_target
bc,250,1.7219724655151367,0.03574329565642504,1.7232983981296692,,,,,,
bc,500,1.5557622909545898,0.028160874968933644,1.566725192925869,,,,,,
bc,750,1.415041446685791,0.024137813157842053,1.4148502734117891,,,,,,
bc,1000,1.2490955591201782,0.02269141905644274,1.2673458363110328,,,,,,
bc,1250,1.119369626045227,0.020764065711953484,1.1192825460608626,,,,,,
bc,1500,0.9596536159515381,0.021821530182733313,0.978475041441865,,,,,,
bc,1750,0.8138768672943115,0.019791060715577746,0.8312148109023825,,,,,,
bc,2000,0.6697293519973755,0.01780117628882697,0.6840676615089724,,,,,,
iql,250,0.4752323031425476,0.019466533723897932,0.5501438595436432,0.0007324005709961057,0.04639800637960434,-0.019750146195292473,0.9455165266990662,1.202574610710144,0.3988614082336426
iql,500,0.3309274911880493,0.018277796418593697,0.4079958961341844,0.001489150570705533,0.20787958800792694,-0.050475798547267914,0.8699883222579956,1.1374484300613403,0.7244528532028198
iql,750,0.21626925468444824,0.018173151210098843,0.27286736241408754,0.0028993908781558275,0.09414589405059814,-0.017474176362156868,0.9641655087471008,1.7163079977035522,0.7481315732002258
iql,1000,0.07749306410551071,0.019267200171007626,0.14687472187501172,0.005585685838013887,0.2725352644920349,-0.03432418406009674,0.9535443186759949,1.9758247137069702,1.0457355976104736
iql,1250,-0.039292044937610626,0.018771733193156812,0.015123508079148038,0.007342569995671511,0.44842538237571716,-0.04054827615618706,0.934449315071106,2.601836681365967,0.8430030345916748
iql,1500,-0.16198943555355072,0.01970086448344883,-0.10272056988744072,0.021108435466885567,0.8497551679611206,0.012152723968029022,1.1310166120529175,3.758037567138672,0.7751227021217346
iql,1750,-0.22471514344215393,0.023924301139628276,-0.18455029014266017,0.014844554476439953,0.7117904424667358,-0.11014626920223236,0.792023777961731,2.2464516162872314,1.5523779392242432
iql,2000,-0.3231874108314514,0.017855491640128115,-0.3598865440913609,0.010221830569207668,1.6814771890640259,-0.12140214443206787,0.7457738518714905,1.7927491664886475,1.6216434240341187
iql,2250,-0.6156641244888306,0.018823704370570408,-0.4630041838565589,0.04188224673271179,2.465251922607422,-0.06762578338384628,1.1347758769989014,15.125629425048828,1.8168373107910156
iql,2500,-0.5715532302856445,0.02137315690205279,-0.5323179486470345,0.024159954860806465,1.9123772382736206,-0.04224221035838127,1.054948091506958,25.492473602294922,2.2348203659057617
iql,2750,-0.6121032238006592,0.020994653748544513,-0.6333471091239007,0.02053583785891533,1.4035959243774414,-0.10088896751403809,0.8939788341522217,12.831949234008789,2.194009304046631
iql,3000,-0.8384837508201599,0.023100122420292947,-0.6855674702605922,0.0322347991168499,1.6838494539260864,-0.1276213675737381,0.924687385559082,8.938377380371094,2.232135772705078
iql,3250,-0.9979466199874878,0.019310464537122558,-0.8452821756020571,0.026578618213534355,2.55534029006958,-0.08472573757171631,0.966022253036499,7.097729682922363,2.9422383308410645
iql,3500,-1.0752036571502686,0.018429457839201427,-0.9441485191002871,0.028604697436094284,1.8400567770004272,-0.1132655143737793,0.9083843231201172,12.788920402526855,1.990527868270874
iql,3750,-1.4856300354003906,0.019324361325766988,-0.9919948097550388,0.02547653578221798,1.734104871749878,-0.03438473120331764,1.1261687278747559,15.745920181274414,2.345970630645752
iql,4000,-1.6364107131958008,0.017146409044234975,-1.1217680868211684,0.058634690940380096,1.2201694250106812,-0.1502215415239334,1.0859613418579102,16.92745018005371,2.988743305206299
iql,4250,-1.8008406162261963,0.0220772403777635,-0.9955842136900067,0.03382760286331177,1.3146908283233643,-0.0013847234658896923,1.212092638015747,6.68264102935791,2.934680700302124
iql,4500,-2.343106985092163,0.01771007182806621,-1.1943487872134197,0.09526938945055008,1.7850054502487183,-0.14490558207035065,1.5564711093902588,75.85734558105469,1.6992480754852295
iql,4750,-1.6514573097229004,0.020179292913517766,-1.1092938053738939,0.03828364610671997,1.341274619102478,-0.12377391010522842,0.9410355091094971,10.65721321105957,4.162959575653076
iql,5000,-2.038090705871582,0.019441388181970207,-1.1525395414331456,0.10501553118228912,3.2146215438842773,-0.12930387258529663,1.210294485092163,38.193302154541016,3.685541868209839
iql,5250,-2.6661839485168457,0.020902259665500415,-1.0696318228166182,0.06823659688234329,1.2798330783843994,-0.07037901133298874,1.3918662071228027,36.67074203491211,3.566316843032837
iql,5500,-2.223808526992798,0.023194864504644818,-0.9169959008912028,0.0942889153957367,2.008549690246582,-0.11176970601081848,1.3290784358978271,35.2896614074707,2.7679920196533203
iql,5750,-1.909407377243042,0.019483534623583057,-1.1265536647139889,0.052364155650138855,1.07369065284729,-0.10685953497886658,0.9933614134788513,8.577364921569824,4.157608985900879
iql,6000,-3.254728078842163,0.019227762195714936,-1.090395090780852,0.050833143293857574,3.0524935722351074,-0.06555464118719101,1.4708540439605713,100.0,2.4608006477355957
