phase,step,loss,value_loss
bc,0,0.07404150813817978,0.0
bc,100,0.01770816370844841,0.0
bc,200,0.019307535141706467,0.0
bc,300,0.015352473594248295,0.0
bc,400,0.017772071063518524,0.0
bc,500,0.010450812056660652,0.0
bc,600,0.008019032888114452,0.0
bc,700,0.016094986349344254,0.0
bc,800,0.0131231639534235,0.0
bc,900,0.022200651466846466,0.0
imagination_rl,0,-0.8197446465492249,2.0197651386260986
imagination_rl,100,-3.051865339279175,0.7675609588623047
imagination_rl,200,-3.907970666885376,0.782646656036377
imagination_rl,300,-4.816490173339844,0.6425219774246216
imagination_rl,400,-5.359646320343018,0.8840376138687134
imagination_rl,500,-6.5892486572265625,0.43756014108657837
imagination_rl,600,-7.675004959106445,0.9825650453567505
imagination_rl,700,-8.030208587646484,0.7722083926200867
imagination_rl,800,-8.622631072998047,1.5860792398452759
imagination_rl,900,-9.014440536499023,0.9883918762207031
imagination_rl,1000,-9.704609870910645,0.3394927978515625
imagination_rl,1100,-9.798500061035156,1.1835962533950806
imagination_rl,1200,-10.254307746887207,1.2610734701156616
imagination_rl,1300,-10.393142700195312,1.7392066717147827
imagination_rl,1400,-10.404679298400879,0.7972664833068848
