phase,step,loss,value_loss
bc,0,0.06057966873049736,0.0
bc,100,0.019392656162381172,0.0
bc,200,0.01421845331788063,0.0
bc,300,0.011430103331804276,0.0
bc,400,0.01096214260905981,0.0
bc,500,0.01213039644062519,0.0
bc,600,0.010013040155172348,0.0
bc,700,0.007480711210519075,0.0
bc,800,0.009981505572795868,0.0
bc,900,0.01115610171109438,0.0
imagination_rl,0,0.9995409250259399,7.462186336517334
imagination_rl,100,-0.06193896383047104,1.2429841756820679
imagination_rl,200,-0.14909926056861877,0.9094805121421814
imagination_rl,300,-0.3059346675872803,0.7868916392326355
imagination_rl,400,-1.2699065208435059,0.78144371509552
imagination_rl,500,-1.9655827283859253,0.816210925579071
imagination_rl,600,-2.2652854919433594,0.7134696841239929
imagination_rl,700,-3.1503493785858154,1.755926489830017
imagination_rl,800,-3.2244205474853516,0.7621475458145142
imagination_rl,900,-3.49837589263916,1.3857831954956055
imagination_rl,1000,-4.134836196899414,0.9595907330513
imagination_rl,1100,-3.0697102546691895,1.35712730884552
imagination_rl,1200,-4.320107936859131,2.7454049587249756
imagination_rl,1300,-5.035895347595215,2.513775587081909
imagination_rl,1400,-4.539474010467529,1.4481905698776245
