controller,domain,episodes,windows,endpoint_force_mae_N,interval_peak_mae_N,height_mae_m,fixed_calibration_joint_coverage,calibration_peak_radius_N
vision_seed0_bc,id,10,180,0.9677709341049194,2.447638988494873,0.0032820748165249825,1.0,13.775102615356445
vision_seed0_bc,ood,10,180,1.0822900533676147,2.7932541370391846,0.0036536124534904957,0.7,13.775102615356445
vision_seed0_rl,id,10,180,1.3774404525756836,3.6346418857574463,0.0062602791003882885,0.4,13.775102615356445
vision_seed0_rl,ood,10,180,0.5876563191413879,1.5429065227508545,0.003440147964283824,0.6,13.775102615356445
vision_seed1_bc,id,10,180,1.0934698581695557,2.7910969257354736,0.004791206680238247,0.9,15.088003158569336
vision_seed1_bc,ood,10,180,1.045989990234375,2.6181743144989014,0.002341487677767873,0.9,15.088003158569336
vision_seed1_rl,id,10,180,2.073188066482544,4.862691879272461,0.0045265983790159225,0.6,15.088003158569336
vision_seed1_rl,ood,10,180,1.4196176528930664,3.378404378890991,0.0017843653913587332,0.9,15.088003158569336
vision_seed2_bc,id,10,180,0.9687257409095764,2.4874799251556396,0.0033493535593152046,1.0,11.992208480834961
vision_seed2_bc,ood,10,180,0.9992882609367371,2.676736354827881,0.0020934001076966524,0.5,11.992208480834961
vision_seed2_rl,id,10,180,1.2569032907485962,3.236589193344116,0.0287918858230114,0.0,11.992208480834961
vision_seed2_rl,ood,10,180,0.4634867012500763,1.1817973852157593,0.002133239759132266,0.5,11.992208480834961
visuotactile_margin_seed0_rl,id,10,180,0.05931774154305458,0.2582840621471405,0.002222910290583968,0.9,13.204450607299805
visuotactile_margin_seed0_rl,ood,10,180,0.16318495571613312,0.646819531917572,0.0022193200420588255,1.0,13.204450607299805
visuotactile_margin_seed1_rl,id,10,180,0.5905490517616272,1.490342617034912,0.02046327106654644,0.5,6.944602966308594
visuotactile_margin_seed1_rl,ood,10,180,0.5550261735916138,1.5602076053619385,0.0014729690738022327,0.7,6.944602966308594
visuotactile_margin_seed2_rl,id,10,180,0.07232271134853363,0.048842135816812515,0.0002844290866050869,1.0,9.437637329101562
visuotactile_margin_seed2_rl,ood,10,180,0.12070510536432266,0.23243626952171326,0.0010961287189275026,1.0,9.437637329101562
visuotactile_seed0_bc,id,10,180,0.3333689868450165,0.6368776559829712,0.002188607817515731,0.8,13.204450607299805
visuotactile_seed0_bc,ood,10,180,0.4809788167476654,1.047418236732483,0.0027271013241261244,1.0,13.204450607299805
visuotactile_seed0_rl,id,10,180,0.5011451840400696,1.1202813386917114,0.011765295639634132,0.0,13.204450607299805
visuotactile_seed0_rl,ood,10,180,0.5425683259963989,1.4578253030776978,0.0021464538294821978,1.0,13.204450607299805
visuotactile_seed1_bc,id,10,180,0.3652462065219879,0.8545075058937073,0.0032450153958052397,1.0,6.944602966308594
visuotactile_seed1_bc,ood,10,180,0.9069437384605408,2.2893972396850586,0.002602166961878538,0.8,6.944602966308594
visuotactile_seed1_rl,id,10,180,0.6497451663017273,1.3574994802474976,0.009638648480176926,0.6,6.944602966308594
visuotactile_seed1_rl,ood,10,180,0.6274711489677429,1.5856629610061646,0.001749800518155098,0.6,6.944602966308594
visuotactile_seed2_bc,id,10,180,0.3455515205860138,0.6886616945266724,0.0021043287124484777,0.8,9.437637329101562
visuotactile_seed2_bc,ood,10,180,0.6664519906044006,1.3671168088912964,0.0012119663879275322,0.9,9.437637329101562
visuotactile_seed2_rl,id,10,180,0.6445338129997253,1.71783447265625,0.006024338770657778,0.4,9.437637329101562
visuotactile_seed2_rl,ood,10,180,0.6463976502418518,1.9609211683273315,0.001999163767322898,0.6,9.437637329101562
