phase,step,loss,value_loss
bc,0,0.07414184510707855,0.0
bc,100,0.02146720141172409,0.0
bc,200,0.012360481545329094,0.0
bc,300,0.011467846110463142,0.0
bc,400,0.011686359532177448,0.0
bc,500,0.008848002180457115,0.0
bc,600,0.010718047618865967,0.0
bc,700,0.009566187858581543,0.0
bc,800,0.009051594883203506,0.0
bc,900,0.00954438652843237,0.0
imagination_rl,0,12.254962921142578,164.39724731445312
imagination_rl,100,13.737438201904297,68.16197967529297
imagination_rl,200,17.124704360961914,22.44417381286621
imagination_rl,300,17.3949031829834,14.913939476013184
imagination_rl,400,22.41353988647461,19.570302963256836
imagination_rl,500,22.387399673461914,19.3294734954834
imagination_rl,600,27.299280166625977,21.046009063720703
imagination_rl,700,26.848724365234375,16.473316192626953
imagination_rl,800,29.413923263549805,54.42022705078125
imagination_rl,900,30.676755905151367,20.30690574645996
imagination_rl,1000,31.10968589782715,7.807199954986572
imagination_rl,1100,36.50243377685547,49.805076599121094
imagination_rl,1200,34.15037155151367,20.45040512084961
imagination_rl,1300,33.038124084472656,54.58864974975586
imagination_rl,1400,33.442787170410156,9.59299087524414
