phase,step,loss,value_loss
bc,0,0.06470459699630737,0.0
bc,100,0.02683565765619278,0.0
bc,200,0.020106833428144455,0.0
bc,300,0.013439672067761421,0.0
bc,400,0.016045229509472847,0.0
bc,500,0.015410792082548141,0.0
bc,600,0.015683023259043694,0.0
bc,700,0.015398737974464893,0.0
bc,800,0.016088075935840607,0.0
bc,900,0.012317144311964512,0.0
imagination_rl,0,-0.3039182722568512,0.9425514340400696
imagination_rl,100,-1.1607661247253418,0.2589211165904999
imagination_rl,200,-1.414236307144165,0.2803744375705719
imagination_rl,300,-2.0371601581573486,0.23730646073818207
imagination_rl,400,-2.21701717376709,0.3935101330280304
imagination_rl,500,-2.5648839473724365,0.24406786262989044
imagination_rl,600,-3.4434001445770264,0.7453399896621704
imagination_rl,700,-3.373969793319702,0.5431045889854431
imagination_rl,800,-3.7319881916046143,1.0803712606430054
imagination_rl,900,-3.9454398155212402,0.9972139596939087
imagination_rl,1000,-4.475243091583252,0.40827688574790955
imagination_rl,1100,-4.625296592712402,1.0116150379180908
imagination_rl,1200,-5.139585018157959,1.2394647598266602
imagination_rl,1300,-5.3029632568359375,1.273976445198059
imagination_rl,1400,-5.127204895019531,0.7593159079551697
