phase,step,loss,value_loss
bc,0,0.05991958826780319,0.0
bc,100,0.02460067719221115,0.0
bc,200,0.017359530553221703,0.0
bc,300,0.014058510772883892,0.0
bc,400,0.011538396589457989,0.0
bc,500,0.015279623679816723,0.0
bc,600,0.012490498833358288,0.0
bc,700,0.010861882008612156,0.0
bc,800,0.015533316880464554,0.0
bc,900,0.014192803762853146,0.0
imagination_rl,0,-1.3222090005874634,3.1842479705810547
imagination_rl,100,-2.775710105895996,1.1794649362564087
imagination_rl,200,-3.314744472503662,0.9110786318778992
imagination_rl,300,-4.192436218261719,0.9896020889282227
imagination_rl,400,-5.0612616539001465,0.7148380875587463
imagination_rl,500,-6.012953281402588,0.8545498847961426
imagination_rl,600,-6.1698899269104,1.0305954217910767
imagination_rl,700,-7.02074670791626,1.1759761571884155
imagination_rl,800,-8.01677131652832,1.4410890340805054
imagination_rl,900,-8.411639213562012,1.0459482669830322
imagination_rl,1000,-8.120055198669434,1.9078994989395142
imagination_rl,1100,-8.558964729309082,1.8721611499786377
imagination_rl,1200,-8.622416496276855,3.3304524421691895
imagination_rl,1300,-9.690728187561035,3.391556978225708
imagination_rl,1400,-9.684464454650879,1.5548734664916992
