phase,step,loss,value_loss
bc,0,0.07414184510707855,0.0
bc,100,0.02146720141172409,0.0
bc,200,0.012360481545329094,0.0
bc,300,0.011467846110463142,0.0
bc,400,0.011686359532177448,0.0
bc,500,0.008848002180457115,0.0
bc,600,0.010718047618865967,0.0
bc,700,0.009566187858581543,0.0
bc,800,0.009051594883203506,0.0
bc,900,0.00954438652843237,0.0
imagination_rl,0,13.608681678771973,181.49400329589844
imagination_rl,100,15.214942932128906,75.97705078125
imagination_rl,200,19.23654556274414,25.164600372314453
imagination_rl,300,19.78511619567871,15.952460289001465
imagination_rl,400,24.93644142150879,20.346052169799805
imagination_rl,500,25.191240310668945,19.55997085571289
imagination_rl,600,30.4754638671875,21.097375869750977
imagination_rl,700,30.44267463684082,16.361011505126953
imagination_rl,800,32.860050201416016,54.23673629760742
imagination_rl,900,34.50237274169922,19.712797164916992
imagination_rl,1000,34.79210662841797,8.1978759765625
imagination_rl,1100,40.10218811035156,49.40586471557617
imagination_rl,1200,37.62417221069336,20.581689834594727
imagination_rl,1300,36.137699127197266,56.543331146240234
imagination_rl,1400,36.43196105957031,10.863713264465332
