run,baseline,status,takeover,domain,metric,paired_n,run_minus_baseline,ci_low,ci_high,ci_method,higher,ties,lower,positive_is_better
force_feedback,script,primary,44,ood,intervention_peak_normal_N,10,-4.235652256011963,-9.08201542377472,-0.07607597231865029,"paired environment-seed bootstrap 95%, identical recorded physical parameters",4,1,5,False
force_feedback,script,primary,44,ood,native_shaped_return,10,-0.34689179282696825,-1.048512688737624,0.502324507765389,"paired environment-seed bootstrap 95%, identical recorded physical parameters",2,0,8,True
force_feedback,script,primary,44,ood,setup_force_budget_exceeded,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,False
force_feedback,script,primary,44,ood,setup_peak_normal_N,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,False
force_feedback,script,primary,44,ood,sustained_10cm_lift_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
force_feedback,script,primary,44,ood,sustained_10cm_lift_within_force_budget,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
force_feedback,script,primary,44,ood,sustained_native_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
force_feedback,script,primary,44,ood,sustained_success_within_force_budget,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
script,force_feedback,primary,44,all,any_native_success,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,True
script,force_feedback,primary,44,all,bilateral_contact_at_takeover,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,False
script,force_feedback,primary,44,all,final_native_success,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,True
script,force_feedback,primary,44,all,force_budget_exceeded,20,0.45,0.25,0.65,"paired environment-seed bootstrap 95%, identical recorded physical parameters",9,11,0,False
script,force_feedback,primary,44,all,full_episode_peak_normal_N,20,4.167556548118592,1.7221445447206498,6.569855046272275,"paired environment-seed bootstrap 95%, identical recorded physical parameters",15,1,4,False
script,force_feedback,primary,44,all,intervention_force_budget_exceeded,20,0.6,0.4,0.8,"paired environment-seed bootstrap 95%, identical recorded physical parameters",12,8,0,False
script,force_feedback,primary,44,all,intervention_peak_normal_N,20,5.20632004737854,2.3859466058015824,8.123948841094972,"paired environment-seed bootstrap 95%, identical recorded physical parameters",15,1,4,False
script,force_feedback,primary,44,all,native_shaped_return,20,0.47542908037808723,0.041918698762535844,0.8308633018862083,"paired environment-seed bootstrap 95%, identical recorded physical parameters",18,0,2,True
script,force_feedback,primary,44,all,setup_force_budget_exceeded,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,False
script,force_feedback,primary,44,all,setup_peak_normal_N,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,False
script,force_feedback,primary,44,all,sustained_10cm_lift_success,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,True
script,force_feedback,primary,44,all,sustained_10cm_lift_within_force_budget,20,-0.25,-0.45,-0.05,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,15,5,True
script,force_feedback,primary,44,all,sustained_native_success,20,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,20,0,True
script,force_feedback,primary,44,all,sustained_success_within_force_budget,20,-0.25,-0.45,-0.05,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,15,5,True
script,force_feedback,primary,44,id,any_native_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
script,force_feedback,primary,44,id,bilateral_contact_at_takeover,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,False
script,force_feedback,primary,44,id,final_native_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
script,force_feedback,primary,44,id,force_budget_exceeded,10,0.5,0.2,0.8,"paired environment-seed bootstrap 95%, identical recorded physical parameters",5,5,0,False
script,force_feedback,primary,44,id,full_episode_peak_normal_N,10,4.09946084022522,2.361464738845825,6.243740528821945,"paired environment-seed bootstrap 95%, identical recorded physical parameters",10,0,0,False
script,force_feedback,primary,44,id,intervention_force_budget_exceeded,10,0.8,0.5,1.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",8,2,0,False
script,force_feedback,primary,44,id,intervention_peak_normal_N,10,6.176987838745117,3.3439963257312773,9.311931658983227,"paired environment-seed bootstrap 95%, identical recorded physical parameters",10,0,0,False
script,force_feedback,primary,44,id,native_shaped_return,10,0.6039663679292062,0.35112923229637494,0.8234067559655575,"paired environment-seed bootstrap 95%, identical recorded physical parameters",10,0,0,True
script,force_feedback,primary,44,id,setup_force_budget_exceeded,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,False
script,force_feedback,primary,44,id,setup_peak_normal_N,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,False
script,force_feedback,primary,44,id,sustained_10cm_lift_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
script,force_feedback,primary,44,id,sustained_10cm_lift_within_force_budget,10,-0.5,-0.8,-0.2,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,5,5,True
script,force_feedback,primary,44,id,sustained_native_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
script,force_feedback,primary,44,id,sustained_success_within_force_budget,10,-0.5,-0.8,-0.2,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,5,5,True
script,force_feedback,primary,44,ood,any_native_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
script,force_feedback,primary,44,ood,bilateral_contact_at_takeover,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,False
script,force_feedback,primary,44,ood,final_native_success,10,0.0,0.0,0.0,"paired environment-seed bootstrap 95%, identical recorded physical parameters",0,10,0,True
