run,variant,seed,split,method,windows,episodes,force_mae_N,force_mae_components_N,height_mae_m,rgb16_mse,substep_peak_mae_N,substep_peak_mae_by_horizon_N,substep_peak_underprediction_p95_N,support_accuracy,contact_accuracy,reward_mae,force_mae_by_horizon_N,height_mae_by_horizon_m,contact_forecasts,contact_phase_force_mae_N,contact_phase_height_mae_m
vision_seed0,vision,0,test_id,world_model,600,20,1.024925708770752,"[2.6251940727233887, 0.3411092460155487, 0.09505826979875565, 2.6361653804779053, 0.35902726650238037, 0.09300365298986435]",0.003961804788559675,0.0009661928634159267,2.594390869140625,"[2.51583194732666, 2.5514752864837646, 2.5832483768463135, 2.6422502994537354, 2.679147720336914]",5.107405662536621,0.972,0.9861666666666666,0.032661810517311096,"[0.9989445209503174, 1.011914610862732, 1.019422173500061, 1.0378093719482422, 1.056538701057434]","[0.0027937975246459246, 0.003396345768123865, 0.003966705873608589, 0.004521853290498257, 0.005130321718752384]",1441,1.9853119850158691,0.0074690040200948715
vision_seed0,vision,0,test_id,persistence_no_dynamics,600,20,0.9935401678085327,"[2.6068434715270996, 0.3517517149448395, 0.0900624468922615, 2.4623336791992188, 0.3595508337020874, 0.09069754928350449]",0.005034832749515772,0.001031386200338602,2.4880709648132324,"[2.4376816749572754, 2.4465012550354004, 2.48291015625, 2.5225462913513184, 2.550715446472168]",5.159585475921631,0.9453333333333334,0.9828333333333333,0.03962431475520134,"[0.9748180508613586, 0.979184091091156, 0.9888419508934021, 1.0024133920669556, 1.0224409103393555]","[0.003348760539665818, 0.004026188049465418, 0.004890123847872019, 0.005904261488467455, 0.007004837039858103]",1441,1.9522006511688232,0.008826926350593567
vision_seed0,vision,0,test_ood,world_model,600,20,0.8006746172904968,"[1.9536570310592651, 0.3192566931247711, 0.09385892748832703, 1.9994744062423706, 0.33241310715675354, 0.10538863390684128]",0.00307650794275105,0.0011793982703238726,2.0184519290924072,"[1.9330869913101196, 2.000197410583496, 2.0239734649658203, 2.041970729827881, 2.093027114868164]",10.313545227050781,0.8633333333333333,0.9651666666666666,0.04938412085175514,"[0.769751250743866, 0.7792718410491943, 0.7959665656089783, 0.8152121305465698, 0.8431710600852966]","[0.0024062078446149826, 0.0026861117221415043, 0.0030356463976204395, 0.003405375871807337, 0.0038491960149258375]",717,2.599346160888672,0.0076732630841434
vision_seed0,vision,0,test_ood,persistence_no_dynamics,600,20,0.8044852614402771,"[1.9490793943405151, 0.3401821553707123, 0.10100062191486359, 1.9600447416305542, 0.3575800061225891, 0.1190248504281044]",0.003412132151424885,0.0011826760601252317,2.0073015689849854,"[1.913085699081421, 1.9468259811401367, 2.012540578842163, 2.076443910598755, 2.0876107215881348]",10.341307640075684,0.922,0.9558333333333333,0.05295313522219658,"[0.7652732729911804, 0.7775145173072815, 0.8023555278778076, 0.8294517397880554, 0.8478304743766785]","[0.003177955048158765, 0.003263643477112055, 0.003394000930711627, 0.0035365573130548, 0.003688511438667774]",717,2.594644784927368,0.006732730660587549
visuotactile_seed0,visuotactile,0,test_id,world_model,600,20,0.20464123785495758,"[0.4890386164188385, 0.1167980208992958, 0.055428095161914825, 0.4174860417842865, 0.09253337234258652, 0.05656280368566513]",0.003209915244951844,0.0009498012950643897,0.49080049991607666,"[0.38564127683639526, 0.4452325403690338, 0.4926191568374634, 0.5314052104949951, 0.5991039276123047]",0.6495152115821838,0.9746666666666667,0.9891666666666666,0.026460889726877213,"[0.1624695211648941, 0.18572482466697693, 0.20161817967891693, 0.22222591936588287, 0.2511676847934723]","[0.0025150696747004986, 0.0027837969828397036, 0.003132083686068654, 0.003582932520657778, 0.004035689402371645]",1441,0.37281534075737,0.00583910895511508
visuotactile_seed0,visuotactile,0,test_id,persistence_no_dynamics,600,20,0.09496618807315826,"[0.18346743285655975, 0.05777698755264282, 0.04984928295016289, 0.17865419387817383, 0.05074987933039665, 0.04929908737540245]",0.005376399960368872,0.0010497126495465636,0.5286779999732971,"[0.44449570775032043, 0.47901809215545654, 0.5283941626548767, 0.5741930603981018, 0.6172889471054077]",1.1003419160842896,0.943,0.98,0.0394064337015152,"[0.04323679953813553, 0.06764732301235199, 0.09528354555368423, 0.12005404382944107, 0.14860931038856506]","[0.003412892110645771, 0.004297375213354826, 0.005294181872159243, 0.0063698855228722095, 0.0075076729990541935]",1441,0.19669222831726074,0.010090330615639687
visuotactile_seed0,visuotactile,0,test_id,shuffled_tactile_at_test,600,20,1.7411532402038574,"[4.639435768127441, 0.4848212003707886, 0.1431010663509369, 4.611601829528809, 0.4280543923377991, 0.1398990899324417]",0.018617628142237663,0.0016338602872565389,4.628415107727051,"[4.52468729019165, 4.581930160522461, 4.626126766204834, 4.690057277679443, 4.719264507293701]",18.65471076965332,0.8063333333333333,0.771,0.17420047521591187,"[1.7124096155166626, 1.7275755405426025, 1.7378621101379395, 1.7568868398666382, 1.7710331678390503]","[0.01839330419898033, 0.01833868958055973, 0.018518272787332535, 0.01879010535776615, 0.019047746434807777]",1441,3.1303234100341797,0.02180919609963894
visuotactile_seed0,visuotactile,0,test_ood,world_model,600,20,0.3501676321029663,"[0.7989094257354736, 0.17599986493587494, 0.07580488920211792, 0.7761743068695068, 0.18680602312088013, 0.08731000870466232]",0.0020311919506639242,0.0010242587886750698,0.7882309556007385,"[0.6653924584388733, 0.7358232736587524, 0.780225396156311, 0.8237351179122925, 0.9359787106513977]",3.0381882190704346,0.9276666666666666,0.9703333333333334,0.03626483306288719,"[0.29615774750709534, 0.3159148693084717, 0.3462333381175995, 0.3824467957019806, 0.41008520126342773]","[0.0020464935805648565, 0.0019579739309847355, 0.0019814269617199898, 0.002056403551250696, 0.0021136626601219177]",717,1.1187620162963867,0.005424404516816139
visuotactile_seed0,visuotactile,0,test_ood,persistence_no_dynamics,600,20,0.20291177928447723,"[0.4159816801548004, 0.1283862143754959, 0.06572762131690979, 0.4089376926422119, 0.1248544380068779, 0.07358285784721375]",0.0028676933143287897,0.0011382086668163538,0.9257765412330627,"[0.757254958152771, 0.8249395489692688, 0.911331057548523, 1.0094377994537354, 1.1259194612503052]",4.104082107543945,0.9153333333333333,0.9561666666666667,0.043513596057891846,"[0.11404695361852646, 0.15313737094402313, 0.20085671544075012, 0.2502571642398834, 0.29626086354255676]","[0.0026752862613648176, 0.0027419747784733772, 0.002845712238922715, 0.002969547640532255, 0.0031059435568749905]",717,0.665485143661499,0.006064464338123798
visuotactile_seed0,visuotactile,0,test_ood,shuffled_tactile_at_test,600,20,1.1331082582473755,"[2.814362049102783, 0.42737051844596863, 0.10178469121456146, 2.8971757888793945, 0.44464197754859924, 0.11331406980752945]",0.00866658240556717,0.0013526451075449586,2.859811305999756,"[2.782503843307495, 2.807888984680176, 2.8607523441314697, 2.888272762298584, 2.959636688232422]",13.433392524719238,0.8656666666666667,0.862,0.10892105847597122,"[1.0942853689193726, 1.1206504106521606, 1.1250568628311157, 1.1600223779678345, 1.1655255556106567]","[0.00852364581078291, 0.008507153950631618, 0.00863585900515318, 0.00878635048866272, 0.008879905566573143]",717,3.1660497188568115,0.019390903413295746
