method,baseline,domain,metric,run_minus_baseline,ci_low,ci_high,paired_environments,fixed_policies,baseline_fixed_policies,ci_method
visuotactile_height_rl,visuotactile_bc,all,sustained_10cm_lift_within_force_budget,0.06666666666666667,-0.1,0.21666666666666665,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,all,sustained_10cm_lift_within_force_budget,0.11666666666666667,0.0,0.25,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,all,sustained_10cm_lift_success,-0.03333333333333334,-0.08333333333333334,0.0,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,all,sustained_10cm_lift_success,-0.03333333333333334,-0.08333333333333334,0.0,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,all,sustained_10cm_lift_success,0.33333333333333337,0.23333333333333334,0.4166666666666667,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,all,sustained_10cm_lift_success,0.3666666666666667,0.33333333333333337,0.4166666666666667,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,all,force_budget_exceeded,-1.6653345369377347e-17,-0.15,0.14999999999999997,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,all,force_budget_exceeded,0.45,0.26666666666666666,0.6333333333333333,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,all,force_budget_exceeded,0.16666666666666666,0.01666666666666667,0.3333333333333333,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,all,force_budget_exceeded,0.06666666666666668,0.0,0.15,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,all,intervention_force_budget_exceeded,-0.05000000000000001,-0.2,0.1,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,all,intervention_force_budget_exceeded,0.55,0.35,0.7666666666666666,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,all,intervention_force_budget_exceeded,0.2166666666666667,0.06666666666666667,0.3833333333333334,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,all,intervention_force_budget_exceeded,0.03333333333333334,0.0,0.08333333333333334,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,all,full_episode_peak_normal_N,-1.3816021561622622,-3.227331280012925,0.46476020524899087,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,all,full_episode_peak_normal_N,2.785954391956329,1.9216414709885916,3.69008770386378,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,all,full_episode_peak_normal_N,-1.1279071509838106,-3.028445456922054,0.7672909739116792,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,all,full_episode_peak_normal_N,0.6164791146914164,0.2538721281290051,1.01366592635711,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,all,native_shaped_return,10.690914908960904,8.14551804953995,13.10814906994295,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,all,native_shaped_return,11.166343989338987,8.717342679094537,13.599934287504333,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,all,native_shaped_return,13.92522391707386,6.881722250224821,22.321317619674268,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,all,native_shaped_return,4.451000610210459,0.21232084215231176,9.3576150410446,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,id,sustained_10cm_lift_within_force_budget,0.13333333333333333,-0.06666666666666668,0.36666666666666664,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,id,sustained_10cm_lift_within_force_budget,-0.3666666666666667,-0.6333333333333334,-0.1,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,id,sustained_10cm_lift_within_force_budget,0.13333333333333333,-0.19999999999999998,0.4333333333333333,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,id,sustained_10cm_lift_within_force_budget,0.2333333333333333,0.0,0.5,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,id,sustained_10cm_lift_success,-0.06666666666666668,-0.16666666666666669,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,id,sustained_10cm_lift_success,-0.06666666666666668,-0.16666666666666669,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,id,sustained_10cm_lift_success,0.6666666666666667,0.4666666666666667,0.8333333333333334,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,id,sustained_10cm_lift_success,0.7333333333333334,0.6666666666666667,0.8333333333333334,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,id,force_budget_exceeded,-0.2,-0.4333333333333334,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,id,force_budget_exceeded,0.3,0.06666666666666667,0.5666666666666667,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,id,force_budget_exceeded,0.26666666666666666,0.0,0.5333333333333333,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,id,force_budget_exceeded,0.03333333333333334,0.0,0.1,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,id,intervention_force_budget_exceeded,-0.2,-0.4333333333333334,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,id,intervention_force_budget_exceeded,0.6,0.3333333333333333,0.8666666666666666,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,id,intervention_force_budget_exceeded,0.26666666666666666,0.0,0.5666666666666667,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,id,intervention_force_budget_exceeded,0.03333333333333334,0.0,0.1,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,id,full_episode_peak_normal_N,-2.3699072122573854,-4.213787543972333,-0.6686676710844046,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,id,full_episode_peak_normal_N,1.7295536279678345,1.1087705280383429,2.3712871098518353,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,id,full_episode_peak_normal_N,0.13271618286768588,-3.0660833715399103,3.490758946438631,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,id,full_episode_peak_normal_N,0.4324445168177286,0.17510952393213977,0.71058622320493,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,id,native_shaped_return,10.535719942550214,6.457877579046239,13.667038043785464,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,id,native_shaped_return,11.139686310479421,7.261993028555488,14.315968019617362,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,id,native_shaped_return,34.68003451272406,22.01014191741554,50.18832761834062,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,id,native_shaped_return,8.23188219553996,-0.26339175891032823,17.332762550250497,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,ood,sustained_10cm_lift_within_force_budget,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,ood,sustained_10cm_lift_success,0.0,0.0,0.0,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,ood,force_budget_exceeded,0.19999999999999998,0.0,0.4333333333333333,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,ood,force_budget_exceeded,0.6,0.3,0.8666666666666666,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,ood,force_budget_exceeded,0.06666666666666668,-0.06666666666666667,0.23333333333333334,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,ood,force_budget_exceeded,0.1,0.0,0.23333333333333334,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,ood,intervention_force_budget_exceeded,0.1,0.0,0.3,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,ood,intervention_force_budget_exceeded,0.5,0.2,0.8,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,ood,intervention_force_budget_exceeded,0.16666666666666669,0.0,0.4,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,ood,intervention_force_budget_exceeded,0.03333333333333334,0.0,0.1,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,ood,full_episode_peak_normal_N,-0.39329710006713886,-3.3972100015481312,2.6558800450960773,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,ood,full_episode_peak_normal_N,3.842355155944824,2.198750576575597,5.5793996683756495,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,ood,full_episode_peak_normal_N,-2.3885304848353073,-4.941802965799969,-0.1267599942286842,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,ood,full_episode_peak_normal_N,0.800513712565104,0.1552127158641814,1.565209423700968,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,script,ood,native_shaped_return,10.84610987537159,7.33092232985146,14.305405969410177,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,force_feedback,ood,native_shaped_return,11.193001668198558,7.957590071798123,14.473903385528944,10,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_bc,ood,native_shaped_return,-6.829586678576345,-12.494939440598714,-1.3981045098483686,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_height_rl,visuotactile_native_rl,ood,native_shaped_return,0.6701190248809568,-1.3392239745857628,3.071477780205249,10,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,script,all,sustained_10cm_lift_within_force_budget,-0.03333333333333334,-0.16666666666666669,0.08333333333333333,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,force_feedback,all,sustained_10cm_lift_within_force_budget,-0.2833333333333333,-0.4,-0.16666666666666669,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_bc,all,sustained_10cm_lift_within_force_budget,-0.03333333333333334,-0.15,0.05,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_height_rl,all,sustained_10cm_lift_within_force_budget,-0.1,-0.2166666666666667,0.0,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_margin_native_rl,all,sustained_10cm_lift_within_force_budget,-0.03333333333333333,-0.08333333333333333,0.0,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,script,all,sustained_10cm_lift_success,-0.4,-0.45,-0.35000000000000003,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,force_feedback,all,sustained_10cm_lift_success,-0.4,-0.45,-0.35000000000000003,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_bc,all,sustained_10cm_lift_success,-0.03333333333333334,-0.15,0.05,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_height_rl,all,sustained_10cm_lift_success,-0.3666666666666667,-0.4333333333333334,-0.2833333333333333,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_margin_native_rl,all,sustained_10cm_lift_success,-0.016666666666666666,-0.05,0.0,20,3,3,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,script,all,force_budget_exceeded,-0.55,-0.7333333333333333,-0.3500000000000001,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,force_feedback,all,force_budget_exceeded,-0.10000000000000002,-0.25000000000000006,0.033333333333333326,20,3,1,stratified paired environment bootstrap of fixed-policy averages
visuotactile_margin_height_rl,visuotactile_bc,all,force_budget_exceeded,-0.38333333333333336,-0.5333333333333333,-0.23333333333333334,20,3,3,stratified paired environment bootstrap of fixed-policy averages
