method,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_combined_ood,interval_peak_mae_N_h2,1.6462718541533858,1.0822562303311296,2.2519523172775893,30,3,0.1010510643447921,2000,"[1.5593573247061836, 1.7571510443422529, 1.622307193411721]"
vision_world_model,test_combined_ood,interval_peak_mae_N_h3,1.6894141399418867,1.0963781192391007,2.3120844360325066,30,3,0.09025714671636534,2000,"[1.6312834101253086, 1.7933925626013014, 1.6435664470990499]"
vision_world_model,test_combined_ood,interval_peak_mae_N_h4,1.7369506231060734,1.1235489476543887,2.3774471064728715,30,3,0.07877935489193988,2000,"[1.6850838005542754, 1.8276031296783024, 1.6981649390856426]"
vision_world_model,test_combined_ood,interval_peak_mae_N_h5,1.7711750868956246,1.1414833842107543,2.4144922815936583,30,3,0.06829691281502011,2000,"[1.7457660304175482, 1.8485344926516214, 1.7192247376177046]"
vision_world_model,test_combined_ood,joint_episode_coverage,0.8111111111111112,0.7111111111111111,0.9002777777777763,30,3,0.15752718754175365,2000,"[0.8666666666666667, 0.9333333333333333, 0.6333333333333333]"
vision_world_model,test_combined_ood,peak_episode_coverage,1.0,1.0,1.0,30,3,0.0,2000,"[1.0, 1.0, 1.0]"
vision_world_model,test_geometry_ood,contact_forecast_fraction,0.4928888888888889,0.3915388888888888,0.5822277777777777,30,3,0.0,2000,"[0.4928888888888889, 0.4928888888888889, 0.4928888888888889]"
vision_world_model,test_geometry_ood,contact_phase_endpoint_force_mae_N,2.280343477235982,1.8119460517211081,2.8309884712860547,30,3,0.10141805922480329,2000,"[2.1817942369514576, 2.3844054879570353, 2.2748307067994533]"
vision_world_model,test_geometry_ood,endpoint_force_mae_N,1.1588568206888876,0.8315063048809093,1.5092325258188184,30,3,0.055510902638026514,2000,"[1.1056388862085424, 1.2164068431619175, 1.154524732696203]"
vision_world_model,test_geometry_ood,endpoint_force_mae_N_h1,1.1475455640349537,0.8354020598036034,1.5038863561738607,30,3,0.06091179992106028,2000,"[1.0826469247703683, 1.2034762025362364, 1.1565135647982565]"
vision_world_model,test_geometry_ood,endpoint_force_mae_N_h2,1.1352699961067454,0.8117383112579011,1.481566628209526,30,3,0.06154796610066258,2000,"[1.074904255606234, 1.1979357104673465, 1.1329700222466554]"
vision_world_model,test_geometry_ood,endpoint_force_mae_N_h3,1.1657149976640537,0.8361255424239127,1.5241830247629944,30,3,0.05982880319039104,2000,"[1.1097244520982106, 1.228757093364666, 1.1586634475292845]"
vision_world_model,test_geometry_ood,endpoint_force_mae_N_h4,1.1676432477548015,0.8407714582039361,1.5241231114667275,30,3,0.05127563740513273,2000,"[1.121464289456813, 1.2228235176261686, 1.1586419361814235]"
vision_world_model,test_geometry_ood,endpoint_force_mae_N_h5,1.1781102978838838,0.8486178534676917,1.5357954413681807,30,3,0.04603785059838315,2000,"[1.1394545091110868, 1.22904169181517, 1.1658346927253944]"
vision_world_model,test_geometry_ood,height_episode_coverage,0.8666666666666666,0.7888888888888889,0.9333333333333332,30,3,0.1527525231651947,2000,"[0.9, 1.0, 0.7]"
vision_world_model,test_geometry_ood,height_mae_m,0.005595799499037202,0.004347259639124403,0.006837426248556529,30,3,0.0007574202007932281,2000,"[0.006091003099036041, 0.004723885752587294, 0.005972509645488269]"
vision_world_model,test_geometry_ood,height_mae_m_h1,0.00502499769233745,0.003944185078199046,0.006082529843803194,30,3,0.0005125855904990178,2000,"[0.0048863552300544046, 0.00459599404117196, 0.005592643805785984]"
vision_world_model,test_geometry_ood,height_mae_m_h2,0.005198944031187609,0.003957413704713636,0.00637444424686853,30,3,0.0006248224782964586,2000,"[0.005322564583556313, 0.004521551430160697, 0.005752716079845817]"
vision_world_model,test_geometry_ood,height_mae_m_h3,0.0054967616436597715,0.00424207645244476,0.006757815512380653,30,3,0.0008613701006634654,2000,"[0.006014209908058142, 0.004502412661030475, 0.005973662361890698]"
vision_world_model,test_geometry_ood,height_mae_m_h4,0.005895004546613631,0.004563807315745955,0.007239668510852357,30,3,0.0009838700639769992,2000,"[0.006731281966818238, 0.004810922625620151, 0.006142809047402504]"
vision_world_model,test_geometry_ood,height_mae_m_h5,0.006363289581387546,0.004952176488376237,0.007788162506489714,30,3,0.0011564822145407987,2000,"[0.007500603806693107, 0.005188548004953191, 0.006400716932516338]"
vision_world_model,test_geometry_ood,interval_peak_mae_N,2.507895240222966,1.7196281422159185,3.385947623291722,30,3,0.17450139364811199,2000,"[2.3274450462526746, 2.6757671787871256, 2.5204734956290986]"
vision_world_model,test_geometry_ood,interval_peak_mae_N_h1,2.484484630734832,1.7414023120568858,3.3313878142348043,30,3,0.20205399806745597,2000,"[2.262254553238551, 2.657131471236547, 2.534067867729399]"
vision_world_model,test_geometry_ood,interval_peak_mae_N_h2,2.451200817470197,1.6871588013481211,3.3053719301047146,30,3,0.20158012257762398,2000,"[2.2421070652537876, 2.6443162992265488, 2.4671790879302553]"
vision_world_model,test_geometry_ood,interval_peak_mae_N_h3,2.523635714981291,1.732106688791955,3.401189824199235,30,3,0.18499782944352244,2000,"[2.3363827917310926, 2.7062928114997016, 2.5282315417130787]"
vision_world_model,test_geometry_ood,interval_peak_mae_N_h4,2.5270924161540136,1.7438771512497355,3.402341971292539,30,3,0.156392498642155,2000,"[2.369380745357937, 2.6821314866012997, 2.5297650165028043]"
vision_world_model,test_geometry_ood,interval_peak_mae_N_h5,2.553062621774497,1.7741441328884273,3.4332636588999517,30,3,0.1312144753261206,2000,"[2.4271000756820045, 2.6889638253715304, 2.543123964269956]"
vision_world_model,test_geometry_ood,joint_episode_coverage,0.8333333333333334,0.7444444444444445,0.9111111111111111,30,3,0.1527525231651947,2000,"[0.8666666666666667, 0.9666666666666667, 0.6666666666666666]"
vision_world_model,test_geometry_ood,peak_episode_coverage,0.9555555555555556,0.888888888888889,1.0,30,3,0.01924500897298752,2000,"[0.9666666666666667, 0.9666666666666667, 0.9333333333333333]"
