comparison,domain,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
visuotactile_world_model minus vision_world_model,test_id,height_mae_m_h1,-0.0008999074656619793,-0.0012232245963322286,-0.0005678270308304088,30,3,0.0009446176218458245,2000,"[-0.0019196533630666736, -5.478657879090558e-05, -0.0007252824551283589]"
visuotactile_world_model minus vision_world_model,test_id,height_mae_m_h2,-0.000951964126663235,-0.0013143715983040712,-0.0005421343352360663,30,3,0.0010766182347711026,2000,"[-0.0021520280357476117, -7.087740161093986e-05, -0.0006329869426311537]"
visuotactile_world_model minus vision_world_model,test_id,height_mae_m_h3,-0.0010899087999455836,-0.001484826096982471,-0.0006591015779744745,30,3,0.0012513318060418594,2000,"[-0.0025142074208512593, -0.00016713810483148943, -0.0005883808741540028]"
visuotactile_world_model minus vision_world_model,test_id,height_mae_m_h4,-0.0012463252711071013,-0.0016839154239757961,-0.000781718414190336,30,3,0.0013489332649685726,2000,"[-0.002797322355585897, -0.0003466213091289521, -0.0005950321486064543]"
visuotactile_world_model minus vision_world_model,test_id,height_mae_m_h5,-0.0013711680522047337,-0.0018604480274926,-0.0008681242920167144,30,3,0.001497727061870681,2000,"[-0.0030962894365721798, -0.00040299718646565454, -0.0006142175335763669]"
visuotactile_world_model minus vision_world_model,test_id,interval_peak_mae_N,-2.118895818657345,-2.83931637115037,-1.4744356017942781,30,3,0.0648792113224123,2000,"[-2.1355281195640563, -2.173839742395613, -2.0473195940123663]"
visuotactile_world_model minus vision_world_model,test_id,interval_peak_mae_N_h1,-2.187751451200909,-2.902694507715878,-1.5257658211953113,30,3,0.09762402097672897,2000,"[-2.1880381968286304, -2.2852317835225, -2.089984373251597]"
visuotactile_world_model minus vision_world_model,test_id,interval_peak_mae_N_h2,-2.134427004125383,-2.847804200069772,-1.4855062688820895,30,3,0.07544077549306032,2000,"[-2.147242465151681, -2.202639201084773, -2.0533993461396958]"
visuotactile_world_model minus vision_world_model,test_id,interval_peak_mae_N_h3,-2.116662599907981,-2.83460326405587,-1.473357822214013,30,3,0.05452508005797001,2000,"[-2.139295917484495, -2.1562260360187953, -2.054465846220652]"
visuotactile_world_model minus vision_world_model,test_id,interval_peak_mae_N_h4,-2.0962657558918,-2.8153343442093446,-1.45138693883684,30,3,0.05054257677968806,2000,"[-2.117538935740789, -2.1326944496896534, -2.038563882244958]"
visuotactile_world_model minus vision_world_model,test_id,interval_peak_mae_N_h5,-2.0593722821606533,-2.7674436014879635,-1.425117914742894,30,3,0.05137347783362158,2000,"[-2.0855250826146867, -2.092407241662343, -2.000184522204929]"
visuotactile_world_model minus vision_world_model,test_id,joint_episode_coverage,-0.08888888888888889,-0.18888888888888888,0.0,30,3,0.01924500897298753,2000,"[-0.1, -0.1, -0.06666666666666667]"
visuotactile_world_model minus vision_world_model,test_id,peak_episode_coverage,-0.044444444444444446,-0.1225,0.022222222222222223,30,3,0.019245008972987525,2000,"[-0.03333333333333333, -0.06666666666666667, -0.03333333333333333]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,contact_forecast_fraction,0.0,0.0,0.0,30,3,0.0,2000,"[0.0, 0.0, 0.0]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,contact_phase_endpoint_force_mae_N,-1.0544376034785503,-1.4872655276430682,-0.6246243074528148,30,3,0.01939593868913841,2000,"[-1.0764936076481788, -1.0400403362387187, -1.0467788665487534]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,endpoint_force_mae_N,-0.5282955153606584,-0.7759691369031462,-0.2989207969093611,30,3,0.0076017825711020715,2000,"[-0.5366978066179694, -0.5262939661674426, -0.5218947732965634]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,endpoint_force_mae_N_h1,-0.5693772444343711,-0.8162028063984953,-0.34369635188906106,30,3,0.012549640751910346,2000,"[-0.5550160880119506, -0.5748811078039687, -0.5782345374871942]"
visuotactile_world_model minus vision_world_model,test_geometry_ood,endpoint_force_mae_N_h2,-0.5368041892468435,-0.7866561835594498,-0.3038677446629742,30,3,0.0063233355815937465,2000,"[-0.5328231661397688, -0.5440954709466098, -0.5334939306541518]"
