method,domain,training_seed,metric,estimate,ci_low,ci_high,environment_episodes,fixed_model_seeds,training_seed_sd,valid_bootstrap_resamples,per_model_estimates
vision_world_model,test_combined_ood,1,height_episode_coverage,0.9333333333333333,0.8333333333333334,1.0,30,1,,2000,[0.9333333333333333]
vision_world_model,test_combined_ood,2,height_episode_coverage,0.6333333333333333,0.4666666666666667,0.8,30,1,,2000,[0.6333333333333333]
vision_world_model,test_combined_ood,0,height_mae_m,0.005067234406124852,0.003180180118540981,0.0072003695197160895,30,1,,2000,[0.005067234406124852]
vision_world_model,test_combined_ood,1,height_mae_m,0.00436518072330768,0.0029571479439522794,0.005797612955662689,30,1,,2000,[0.00436518072330768]
vision_world_model,test_combined_ood,2,height_mae_m,0.004994448446076907,0.00325789128939149,0.0069836000330805986,30,1,,2000,[0.004994448446076907]
vision_world_model,test_combined_ood,0,height_mae_m_h1,0.004210238058650349,0.002770051926194962,0.005922577141549684,30,1,,2000,[0.004210238058650349]
vision_world_model,test_combined_ood,1,height_mae_m_h1,0.003985088594442156,0.0028178866984037284,0.005190900879021986,30,1,,2000,[0.003985088594442156]
vision_world_model,test_combined_ood,2,height_mae_m_h1,0.004426192402833193,0.002961196388442153,0.006082695985532255,30,1,,2000,[0.004426192402833193]
vision_world_model,test_combined_ood,0,height_mae_m_h2,0.004510347275904172,0.002851548344201648,0.006451649264770417,30,1,,2000,[0.004510347275904172]
vision_world_model,test_combined_ood,1,height_mae_m_h2,0.0040921326382279705,0.0027732607617977517,0.005427208945789768,30,1,,2000,[0.0040921326382279705]
vision_world_model,test_combined_ood,2,height_mae_m_h2,0.004638016843236983,0.003018592079297782,0.006465409700485501,30,1,,2000,[0.004638016843236983]
vision_world_model,test_combined_ood,0,height_mae_m_h3,0.00500021274858025,0.0030957040744364756,0.007140408105900052,30,1,,2000,[0.00500021274858025]
vision_world_model,test_combined_ood,1,height_mae_m_h3,0.004310193187395473,0.0029085278766304125,0.005808216244105198,30,1,,2000,[0.004310193187395473]
vision_world_model,test_combined_ood,2,height_mae_m_h3,0.004977757527133993,0.003239237860908664,0.006955139162755788,30,1,,2000,[0.004977757527133993]
vision_world_model,test_combined_ood,0,height_mae_m_h4,0.005524415345086406,0.003427538948250003,0.00784933798224261,30,1,,2000,[0.005524415345086406]
vision_world_model,test_combined_ood,1,height_mae_m_h4,0.004589835083073315,0.0030665500990322064,0.006186719070295412,30,1,,2000,[0.004589835083073315]
vision_world_model,test_combined_ood,2,height_mae_m_h4,0.005298349475876118,0.0034428083736177846,0.007454505555141722,30,1,,2000,[0.005298349475876118]
vision_world_model,test_combined_ood,0,height_mae_m_h5,0.006090958602403084,0.003816220288483439,0.008651843691231785,30,1,,2000,[0.006090958602403084]
vision_world_model,test_combined_ood,1,height_mae_m_h5,0.004848654113399486,0.0032347336304058747,0.006564953423755165,30,1,,2000,[0.004848654113399486]
vision_world_model,test_combined_ood,2,height_mae_m_h5,0.0056319259813042465,0.003662023497054987,0.007949691870295077,30,1,,2000,[0.0056319259813042465]
vision_world_model,test_combined_ood,0,interval_peak_mae_N,1.6230587475829654,1.028755065289471,2.204312154573864,30,1,,2000,[1.6230587475829654]
vision_world_model,test_combined_ood,1,interval_peak_mae_N,1.7910831355253856,1.1785319621198707,2.4348088684068783,30,1,,2000,[1.7910831355253856]
vision_world_model,test_combined_ood,2,interval_peak_mae_N,1.6544452883667415,1.067686805319786,2.2773736813690926,30,1,,2000,[1.6544452883667415]
vision_world_model,test_combined_ood,0,interval_peak_mae_N_h1,1.4938031721115113,0.9640221275753446,2.0161631609135204,30,1,,2000,[1.4938031721115113]
vision_world_model,test_combined_ood,1,interval_peak_mae_N_h1,1.7287344483534495,1.1241860442856948,2.393987983041339,30,1,,2000,[1.7287344483534495]
vision_world_model,test_combined_ood,2,interval_peak_mae_N_h1,1.5889631246195899,1.0012867491112816,2.228026304377449,30,1,,2000,[1.5889631246195899]
vision_world_model,test_combined_ood,0,interval_peak_mae_N_h2,1.5593573247061836,1.0060235338277288,2.109533898671468,30,1,,2000,[1.5593573247061836]
vision_world_model,test_combined_ood,1,interval_peak_mae_N_h2,1.7571510443422529,1.151430464681652,2.400668668780061,30,1,,2000,[1.7571510443422529]
vision_world_model,test_combined_ood,2,interval_peak_mae_N_h2,1.622307193411721,1.0378711332380772,2.239441302107439,30,1,,2000,[1.622307193411721]
vision_world_model,test_combined_ood,0,interval_peak_mae_N_h3,1.6312834101253086,1.0257936753630637,2.2345713516440653,30,1,,2000,[1.6312834101253086]
vision_world_model,test_combined_ood,1,interval_peak_mae_N_h3,1.7933925626013014,1.1728869913419089,2.4364933539893885,30,1,,2000,[1.7933925626013014]
