method,domain,training_seed,environment_seed,episode_id,windows,endpoint_force_mae_N,endpoint_force_mae_N_h1,endpoint_force_mae_N_h2,endpoint_force_mae_N_h3,endpoint_force_mae_N_h4,endpoint_force_mae_N_h5,interval_peak_mae_N,interval_peak_mae_N_h1,interval_peak_mae_N_h2,interval_peak_mae_N_h3,interval_peak_mae_N_h4,interval_peak_mae_N_h5,height_mae_m,height_mae_m_h1,height_mae_m_h2,height_mae_m_h3,height_mae_m_h4,height_mae_m_h5,contact_phase_endpoint_force_mae_N,contact_forecast_fraction,peak_episode_coverage,height_episode_coverage,joint_episode_coverage,contact_force_error_sum,contact_force_component_count
vision_world_model,test_id,0,20350010,id_010,30,1.047660505655739,1.1087129229058823,1.0838710338705115,0.9151505939041574,1.1052137855440378,1.025354192054106,3.839919075171153,3.9977278391520183,4.032711084683736,3.6751461267471313,3.7873199621836346,3.7066903630892436,0.0035461780102923513,0.003158878740699341,0.003018534703490635,0.003210836225965371,0.0037751853349618615,0.004567455046344549,1.5386235739470218,0.6733333333333333,1.0,1.0,1.0,932.4058858118951,606
vision_world_model,test_id,0,20350011,id_011,30,1.0687643837100929,1.059590558687018,1.0720424331931604,1.0690626284728448,1.0578135415911674,1.0853127566062741,2.6979600389798484,2.696420701344808,2.7351219495137533,2.7056885242462156,2.6536405285199485,2.6989284912745157,0.006117812952337166,0.004705250166201343,0.005318461273175975,0.005966261153419813,0.006828509597107768,0.00777058257178093,1.6255149967917257,0.6466666666666666,1.0,1.0,1.0,946.0497281327844,582
vision_world_model,test_id,0,20350012,id_012,30,0.03507420382979844,0.03791343559407526,0.03383852938810984,0.03355731659879287,0.034482492196063204,0.035579245371951,0.11275893529256185,0.1301603635152181,0.11815783977508545,0.107949693997701,0.10571885108947754,0.10180792808532715,0.0004961520091940959,0.0004830506630241871,0.000481878500431776,0.00046800170869876944,0.0005121865542605519,0.0005356426195551951,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350013,id_013,30,0.658465599915944,0.5297679226069401,0.6542512537782184,0.6958890294707898,0.7058722124848928,0.7065475812388791,1.8348159670829773,1.422291342417399,1.847766637802124,1.9598795453707376,1.9823559880256654,1.9617863217989604,0.004141610759931306,0.003528087966454526,0.003350541368126869,0.0037935987580567597,0.0046283953396293025,0.005407430367389073,1.0614872337191028,0.6066666666666667,1.0,1.0,1.0,579.5720296106301,546
vision_world_model,test_id,0,20350014,id_014,30,0.9821813859169682,1.119887344352901,0.9799956856709388,0.9453046052820153,0.9374148906932936,0.9283044035856922,2.50349462668101,2.950814366340637,2.488904285430908,2.387916262944539,2.356576450665792,2.333261768023173,0.0034473659470677376,0.0027984755385356643,0.002754048580148568,0.0031678505164260667,0.003859879441248874,0.0046565756589795155,1.6174582361700607,0.5933333333333334,1.0,1.0,1.0,863.7226981148124,534
vision_world_model,test_id,0,20350015,id_015,30,1.4808178616646264,1.4856449699236287,1.5084397132198015,1.4857649608825645,1.4823308508843183,1.4419088134128186,3.8982503787676492,3.95121146440506,4.0159544229507445,3.935209075609843,3.8866111238797507,3.7022658069928487,0.004954620506614446,0.0032261928853889307,0.003794797936764856,0.00482572759501636,0.005915797428072741,0.007010586687829346,2.3975773568305634,0.6133333333333333,1.0,1.0,1.0,1323.462700970471,552
vision_world_model,test_id,0,20350016,id_016,30,2.586345300856564,2.538127872472008,2.544139936545657,2.6427797071842685,2.6406605592204464,2.5660184288604393,7.158454898198445,7.019972586631775,7.078012728691101,7.221919322013855,7.331856226921081,7.140513626734416,0.005030009896339228,0.004505267331842333,0.0047272000733452535,0.004956436149465541,0.00528019501750047,0.005680950909542541,3.935550580688176,0.6533333333333333,1.0,1.0,1.0,2314.1037414446473,588
vision_world_model,test_id,0,20350017,id_017,30,0.05265579322146045,0.048797126735250156,0.05407460503694084,0.05438903503947788,0.05340263849745194,0.05261556079818143,0.1704858938852946,0.17897864977518718,0.1747947057088216,0.16806908448537192,0.16505258083343505,0.16553444862365724,0.0004166423118052383,0.0007279646505291263,0.000404254257834206,0.0003293320614223679,0.00031726966456820566,0.0003043909246722857,,0.0,1.0,1.0,1.0,0.0,0
vision_world_model,test_id,0,20350018,id_018,30,1.537047914692925,1.5539680591473977,1.5485048384923075,1.505155604498254,1.550477585506936,1.5271334858197305,4.148887478510539,4.247281686464945,4.195046782493591,4.067903033892313,4.126116673151652,4.108089216550192,0.0032797934262392423,0.0018348874912286798,0.0025061797893916565,0.0032966192462481557,0.004055116209201515,0.004706164395126204,2.485150420160937,0.6133333333333333,1.0,1.0,1.0,1371.8030319288373,552
vision_world_model,test_id,0,20350019,id_019,30,2.4829688592627646,2.28562994842521,2.466642359188861,2.5624445793632833,2.570672272373405,2.5294551369630627,7.422597326437632,6.885035173098246,7.397389562924703,7.6658464233080545,7.641321595509847,7.523393877347311,0.005531799487459163,0.004131662861133615,0.0043166303114655115,0.0053959759185090665,0.006414040081047763,0.007400688265139858,3.818397044434606,0.6466666666666666,1.0,1.0,1.0,2222.3070798609406,582
