phase,step,loss,value_loss
bc,0,0.06057966873049736,0.0
bc,100,0.019392656162381172,0.0
bc,200,0.01421845331788063,0.0
bc,300,0.011430103331804276,0.0
bc,400,0.01096214260905981,0.0
bc,500,0.01213039644062519,0.0
bc,600,0.010013040155172348,0.0
bc,700,0.007480711210519075,0.0
bc,800,0.009981505572795868,0.0
bc,900,0.01115610171109438,0.0
imagination_rl,0,-0.3411654829978943,6.143588542938232
imagination_rl,100,-2.0022847652435303,1.2308505773544312
imagination_rl,200,-2.4939568042755127,0.9828780293464661
imagination_rl,300,-3.03898549079895,0.9231564402580261
imagination_rl,400,-4.391722679138184,0.8805654644966125
imagination_rl,500,-5.373064041137695,0.7796172499656677
imagination_rl,600,-5.611307621002197,0.9671220779418945
imagination_rl,700,-6.608301162719727,1.7440041303634644
imagination_rl,800,-6.919061183929443,0.7759909629821777
imagination_rl,900,-7.450434684753418,1.6349858045578003
imagination_rl,1000,-7.771892547607422,0.9399682879447937
imagination_rl,1100,-7.211681365966797,1.509323000907898
imagination_rl,1200,-8.3824462890625,2.886378049850464
imagination_rl,1300,-9.046123504638672,2.7547807693481445
imagination_rl,1400,-8.27322006225586,2.03898024559021
