phase,step,actor_loss,val_normalized_action_mse,val_action_nll,value_loss,critic_loss,mean_advantage,mean_advantage_weight,max_advantage_weight,mean_td_target
bc,250,1.727759838104248,0.04316371779261164,1.73202464956067,,,,,,
bc,500,1.5604490041732788,0.029648728738624206,1.5682679331782974,,,,,,
bc,750,1.4211583137512207,0.030618552759890155,1.4245336719484993,,,,,,
bc,1000,1.265002727508545,0.03064451414764255,1.2815824410854242,,,,,,
bc,1250,1.1265637874603271,0.029961841356609658,1.1390482139238072,,,,,,
bc,1500,0.980613112449646,0.026322442101785443,0.9906032797181126,,,,,,
bc,1750,0.8368704915046692,0.02864798440959564,0.8587002481296385,,,,,,
bc,2000,0.7218121290206909,0.02603766240773129,0.7146805468059722,,,,,,
iql,250,0.5520575046539307,0.024952408323327128,0.580513426454076,0.00044592589256353676,0.6870088577270508,-0.0004926710389554501,1.0032589435577393,1.2395110130310059,0.27112433314323425
iql,500,0.37292367219924927,0.025005988279040287,0.44848831145318,0.005681568756699562,0.6671351194381714,-0.029984626919031143,0.9648432731628418,1.7924712896347046,0.48776066303253174
iql,750,0.2534644603729248,0.027052392682910046,0.3293255790249332,0.017447100952267647,0.5627877712249756,-0.07429797202348709,0.9007159471511841,4.246654510498047,0.8301079273223877
iql,1000,0.103394515812397,0.025084237518614574,0.19120324388037235,0.011128644458949566,0.5909265279769897,-0.08392578363418579,0.8800820112228394,1.9582462310791016,1.2697910070419312
iql,1250,-0.017709970474243164,0.02661020797933196,0.07531213004401316,0.031810592859983444,0.6596027612686157,-0.10807189345359802,0.8995474576950073,4.321961879730225,1.3942700624465942
iql,1500,-0.2353174239397049,0.028722429955497574,-0.02833798211136144,0.03889463096857071,1.1661732196807861,0.09084559977054596,1.8934059143066406,35.51746368408203,1.7576731443405151
iql,1750,-0.3403148651123047,0.0274477466235565,-0.15661868169194176,0.05122024565935135,1.279922366142273,-0.07545098662376404,1.1508303880691528,16.530027389526367,1.8834176063537598
iql,2000,-0.5354458093643188,0.0271852927944698,-0.27317445902597337,0.0983709990978241,0.5033095479011536,-0.09750273823738098,1.2027404308319092,30.19379425048828,1.8632298707962036
iql,2250,-0.5096745491027832,0.025960303001462282,-0.390273229543106,0.08129623532295227,0.6358652114868164,-0.189062237739563,0.9311645030975342,12.898674964904785,2.0312469005584717
iql,2500,-1.5070772171020508,0.027653372324167345,-0.46476205452021224,0.11584261804819107,1.2950960397720337,-0.012097715400159359,2.0807595252990723,100.0,2.531860828399658
iql,2750,-0.9562594890594482,0.026307270178168793,-0.5678437694961771,0.11657842993736267,1.8962277173995972,-0.153529554605484,2.1535372734069824,100.0,2.4108572006225586
iql,3000,-3.8759543895721436,0.029350064726010813,-0.582609650852916,0.24520236253738403,2.723712921142578,0.11627809703350067,4.266190052032471,100.0,2.2198424339294434
iql,3250,-2.284733533859253,0.030507414457609967,-0.6020557352038094,0.10078464448451996,2.6305558681488037,-0.07594850659370422,2.6182754039764404,100.0,2.907308578491211
iql,3500,-2.8547685146331787,0.0266544951079925,-0.7442897977409783,0.13662327826023102,2.153369665145874,-0.06903952360153198,2.6559958457946777,100.0,3.4343771934509277
iql,3750,-2.157045602798462,0.027351181388059937,-0.7747132760701162,0.0919753760099411,2.4191770553588867,0.0027649812400341034,1.621205449104309,15.330456733703613,3.2875020503997803
