phase,step,loss,value_loss
bc,0,0.06057966873049736,0.0
bc,100,0.019392656162381172,0.0
bc,200,0.01421845331788063,0.0
bc,300,0.011430103331804276,0.0
bc,400,0.01096214260905981,0.0
bc,500,0.01213039644062519,0.0
bc,600,0.010013040155172348,0.0
bc,700,0.007480711210519075,0.0
bc,800,0.009981505572795868,0.0
bc,900,0.01115610171109438,0.0
imagination_rl,0,4.590440273284912,48.44679641723633
imagination_rl,100,2.8730881214141846,9.92132568359375
imagination_rl,200,4.40699577331543,4.568019866943359
imagination_rl,300,4.607282638549805,4.601184368133545
imagination_rl,400,4.009471416473389,2.9767372608184814
imagination_rl,500,3.590996026992798,3.347111940383911
imagination_rl,600,4.237182140350342,4.998605251312256
imagination_rl,700,3.912081003189087,3.659691333770752
imagination_rl,800,3.519411563873291,7.149478435516357
imagination_rl,900,3.4784436225891113,6.013070583343506
imagination_rl,1000,3.990356206893921,3.665783643722534
imagination_rl,1100,5.399482727050781,8.17374324798584
imagination_rl,1200,2.000126838684082,3.703017473220825
imagination_rl,1300,4.059736728668213,7.794761657714844
imagination_rl,1400,5.396000862121582,2.626699686050415
